"Protein","mean_control","mean_stress","log2Fold_change","p_value","SCORE_neg_log10_p"
"P21738",8.79495652151906,13.6175342799934,4.82257775847439,0.000266935594447564,3.57359351148239
"P31189",8.9318272882402,5.89109804543435,-3.04072924280585,0.000394566661502358,3.40387961279195
"P4059",12.7912466613356,8.59720902267637,-4.19403763865924,0.000402631018820935,3.39509276997435
"P18418",10.3074570763409,6.57194964937851,-3.73550742696239,0.000403434824164662,3.39422661656007
"P37753",8.70804438559839,5.78350945108698,-2.92453493451141,0.000465863016369394,3.33174176567161
"P31180",14.7485315876853,10.5393193233483,-4.20921226433696,0.000473537697071238,3.3246454422608
"P20591",8.63139001938587,5.83365208439708,-2.79773793498879,0.000519266803440548,3.28460944082381
"P15634",8.45934840652753,12.9215291004003,4.46218069387277,0.000639428653851322,3.19420790617711
"P30379",6.09084509514671,8.57034834737292,2.4795032522262,0.000916738485992727,3.03775453596373
"P14540",9.25199586318336,6.4912718412334,-2.76072402194996,0.00104214831702161,2.98207046848348
"P12988",6.50989757545546,9.82231585259141,3.31241827713596,0.00105456128969111,2.97692817457681
"P21813",14.3663948472815,18.7631113733862,4.39671652610469,0.00106090342950461,2.97432414667551
"P15848",6.7976814825947,10.2289837875414,3.43130230494675,0.00113715923999991,2.94417871542582
"P15502",13.0434857104015,16.1359184289772,3.09243271857573,0.00118746656381713,2.92537861021186
"P34171",8.19661112099447,11.9068495420967,3.71023842110225,0.00122170171538913,2.91303481633044
"P20644",11.8679626670229,7.86784024006933,-4.00012242695354,0.00140779842463891,2.85145952511872
"P33859",7.3637550492187,11.0705665647105,3.70681151549179,0.00148481386172669,2.82832798667794
"P20579",11.9514742848682,8.26749249547473,-3.68398178939344,0.00153024026597532,2.8152403744144
"P31368",8.40118153942321,5.92121065978868,-2.47997087963453,0.00159920447861525,2.79609600263483
"P15587",5.63300363489745,7.97653200512757,2.34352837023012,0.00162203548651115,2.78993964862832
"P33915",7.23327647848111,10.9368375350763,3.70356105659517,0.00163889889748498,2.7854478369229
"P21791",14.0917258523586,18.2677544197439,4.17602856738527,0.00168643371410512,2.77303072424301
"P3941",8.54810807542043,6.09923421004059,-2.44887386537983,0.00169324433072999,2.77128036981096
"P30245",7.89111346011125,11.6087930179186,3.71767955780736,0.00171831189649745,2.76489800311619
"P20605",8.28783424892703,5.89823006805459,-2.38960418087244,0.00171924215173458,2.76466294951678
"P18895",5.75013382344349,7.81213504352947,2.06200122008598,0.00173017361423243,2.76191031541455
"P7017",5.86477714757777,8.55898528710698,2.69420813952921,0.00180173207938103,2.74430978888258
"P28787",5.90673144127033,8.63312286669394,2.72639142542361,0.00181093120377755,2.74209804796717
"P32125",6.82159065164966,10.2523903274327,3.43079967578302,0.00181509329326946,2.74110104792216
"P35907",5.85177130300249,8.07614375266853,2.22437244966604,0.00183792852033243,2.73567138295472
"P42236",7.48717567167983,11.9229311123643,4.43575544068442,0.00184302191424374,2.73446950082078
"P30295",5.83469534576928,8.65739121285475,2.82269586708546,0.00193123998497489,2.71416375538975
"P5530",6.0605107636561,8.56507481938718,2.50456405573108,0.00215551080263457,2.66644979627897
"P37334",8.2723250508595,5.80984253614752,-2.46248251471198,0.00218213833534521,2.6611177210379
"P26075",6.43782365066668,9.05603703404517,2.61821338337849,0.00218598535108146,2.66035275270919
"P32430",7.91749362027147,5.93474539038509,-1.98274822988638,0.0022250322066927,2.6526636983515
"P8529",12.2846610967033,15.7002634102885,3.41560231358518,0.00230620084173223,2.63710287368579
"P20598",10.8965614917767,7.47382105240929,-3.42274043936739,0.0024935715124964,2.60317817224721
"P21767",5.92151369196689,8.66661833896947,2.74510464700258,0.00252720301008927,2.59735986982514
"P30232",7.62365431534872,11.1076306613804,3.48397634603167,0.00267615577884531,2.57248860991624
"P8584",12.0218895778548,15.1488753508584,3.12698577300365,0.00268994577824293,2.57025647406719
"P13854",8.89100727339226,6.31323911355342,-2.57776815983884,0.00270543574084445,2.56776277691458
"P26768",11.5865142002403,8.13201123240163,-3.4545029678387,0.0028502792240873,2.54511259278436
"P15905",11.2662518319803,16.1877586974359,4.92150686545565,0.00285415199004692,2.54452290344243
"P23598",11.2713594190103,14.6388321030682,3.36747268405794,0.00286865519767945,2.5423216492947
