x	Bin
1	V109	983_SemiBin_128
2	V121	986_SemiBin_166
3	V130	991_SemiBin_80
4	V131	992_SemiBin_141
5	V148	MEGAHIT-MetaBAT2-S933.139
6	V169	MEGAHIT-MetaBAT2-S938.43
7	V185	MEGAHIT-MetaBAT2-S944.97
8	V202	MEGAHIT-MetaBAT2-S946.206
9	V204	MEGAHIT-MetaBAT2-S946.39
10	V209	MEGAHIT-MetaBAT2-S947.28
11	V211	MEGAHIT-MetaBAT2-S947.49
12	V215	MEGAHIT-MetaBAT2-S947.97
13	V231	MEGAHIT-MetaBAT2-S954.181
14	V252	MEGAHIT-MetaBAT2-S960.129
15	V295	MEGAHIT-MetaBAT2-S968.150
16	V297	MEGAHIT-MetaBAT2-S968.183
17	V302	MEGAHIT-MetaBAT2-S969.165
18	V313	MEGAHIT-MetaBAT2-S970.243
19	V316	MEGAHIT-MetaBAT2-S971.164
20	V319	MEGAHIT-MetaBAT2-S972.108
21	V321	MEGAHIT-MetaBAT2-S972.52
22	V325	MEGAHIT-MetaBAT2-S973.204
23	V326	MEGAHIT-MetaBAT2-S973.217
24	V356	MEGAHIT-MetaBAT2-S981.151
25	V367	MEGAHIT-MetaBAT2-S983.92
26	V378	MEGAHIT-MetaBAT2-S987.82
27	V392	group10_bins.111
28	V411	group3_bins.206
29	V418	group3_bins.358
30	V430	group6_bins.106
31	V461	group8_bins.266
32	V463	group8_bins.283
33	V464	group8_bins.297
34	V469	group9_bins.244
35	V472	group9_bins.282
36	V6	932_SemiBin_176
37	V60	959_SemiBin_129
38	V68	962_SemiBin_32
39	V95	973_SemiBin_207
