code_protein	Protein	Association	Loading_Value	Description	comp1	comp2	comp3
P21738	MEGAHIT-MetaBAT2-S948.142_contig_869924_32	stress	0.0595950010564044	rank: C;putative multiple sugar transport system substrate-binding protein (db=kegg)	0.0595950010564044	0.0240653778119242	-0.0608947943093079
P42236	group9_bins.244_contig_1379187_7	stress	0.0573380494269213	rank: E	0.0573380494269213	0.0347500991310405	-0.0231935562638929
P4059	947_SemiBin_204_contig_1162486_3	control	-0.0567337768142403	rank: E	-0.0567337768142403	-0.0293837301481367	-0.0120900851301492
P31180	MEGAHIT-MetaBAT2-S968.13_contig_6351479_3	control	-0.0562967078680611	rank: C;two-component system, response regulator, stage 0 sporulation protein A (db=kegg)	-0.0562967078680611	-0.0400776658150128	-0.033578088334655
P15634	992_SemiBin_233_contig_1712874_9	stress	0.0535384983016364	rank: C;LemA protein (db=kegg)	0.0535384983016364	-0.000167627617081354	-0.0640687558327112
P15293	991_SemiBin_49_contig_4970553_33	stress	0.0522429557684456	rank: E	0.0522429557684456	0.0238258986492753	-0.00644728183051003
P15894	992_SemiBin_233_contig_1712910_34	stress	0.0521953908931923	rank: C;adenylosuccinate synthase [EC:6.3.4.4] (db=kegg)	0.0521953908931923	-0.00298730118293377	-0.0616799738700166
P15905	992_SemiBin_233_contig_1712911_3	stress	0.0517898641803062	rank: E	0.0517898641803062	-0.00586924550976987	-0.0500713306064337
P33915	MEGAHIT-MetaBAT2-S975.132_contig_1872210_28	stress	0.0505007934784892	rank: C;histidine ammonia-lyase [EC:4.3.1.3] (db=kegg)	0.0505007934784892	0.0264833597667458	-0.0281526774304636
P20644	MEGAHIT-MetaBAT2-S945.92_contig_5403205_7	control	-0.0498797845146214	rank: D;Domain of unknown function (DUF4595) with porin-like fold [PF15283.11] (db=pfam)	-0.0498797845146214	0.00225930492767426	0.0233621755268053
P15872	992_SemiBin_233_contig_1712904_41	stress	0.0495050394212397	rank: E	0.0495050394212397	-0.0116912610489428	-0.0523732130004231
P21735	MEGAHIT-MetaBAT2-S948.142_contig_869922_12	stress	0.0490086917524722	rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	0.0490086917524722	-0.000446445430294242	-0.020809847967903
P20602	MEGAHIT-MetaBAT2-S945.92_contig_5403179_26	control	-0.0486724684972735	rank: D;Putative zinc-binding metallo-peptidase [PF15890.10] (db=pfam)	-0.0486724684972735	0.0117126834755328	0.0265351956415292
P34171	MEGAHIT-MetaBAT2-S975.132_contig_1872280_67	stress	0.0478072063992123	rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)	0.0478072063992123	0.0465714148803126	0.0176163068150929
P20579	MEGAHIT-MetaBAT2-S945.92_contig_5403164_14	control	-0.0477456018104957	rank: C;peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8] (db=kegg)	-0.0477456018104957	0.00165878843688786	0.0172762481589468
P27996	MEGAHIT-MetaBAT2-S962.24_contig_2292087_2	control	-0.0473293801234048	rank: C;DNA gyrase subunit B [EC:5.6.2.2] (db=kegg)	-0.0473293801234048	-0.0366908840509632	-0.0332183714347999
P30245	MEGAHIT-MetaBAT2-S967.21_contig_2745090_36	stress	0.0471339884421849	rank: C;small subunit ribosomal protein S5 (db=kegg)	0.0471339884421849	-0.0103971118105863	-0.0135639558436067
P39609	group3_bins.202_contig_5016315_1	stress	0.0467032375386315	rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)	0.0467032375386315	0.0120757004038947	0.00161983427923412
P30232	MEGAHIT-MetaBAT2-S967.21_contig_2745090_22	stress	0.04657422164554	rank: C;large subunit ribosomal protein L2 (db=kegg)	0.04657422164554	-0.0261046258038367	-0.0283821210336727
