Genomes	X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
MEGAHIT-MetaBAT2-S947.49	0.01425568	0.014968102	0.024032991	0.07707383	0.0032337627	0.007064565	0.014393932	0.0038013407	0.063625604	0.08091831	0	0	0.009538464	0.1140613	0.22452986	0.031451236	0.009610915	0.0074480283	0.062272254	0	0.052190702	0.05318973	0.02289495	0	0	0.011018239	0.018743223	0	0.027778128	0.05105818	0.030188283	0.07870678	0.046743512	0	0.011885507	0.035510138	0.032587633	0.0379963	0	0.013869978	0.043689605	0	0.011118063	0.02376266	0.07307733	0.027187534	0.011486065	0.014274714	0	0	0.016657459	0.011155379	0.014157884	0.0144906575	0.012650508	0.06900897	0.014793724	0.05341938	0.014202179	0
935_SemiBin_210	0.024566924	0	0.016021995	0.1461115	0.019315125	0.018204948	0.024971442	0.024004428	0.020208977	0.033547655	0.023979595	0.02405409	0.031198112	0.010772806	0.024548722	0.030292321	0.0291787	0.015198304	0	0.020126455	0	0.012797466	0.026046623	0	0.01620127	0.021041483	0.02635294	0.023144353	0.053405806	0.024616292	0.03060003	0.027218284	0.033625387	0.02450179	0.024016142	0.017454792	0.027891262	0.021155925	0.0225949	0.01370471	0.04722731	0.017775653	0.010539501	0.01510793	0.050190527	0.02793751	0.023764176	0.020879624	0.04167494	0	0.044559173	0.017904846	0	0.016490867	0.020727012	0.051247027	0.054276682	0.02302947	0.04704552	0.02242418
MEGAHIT-MetaBAT2-S972.76	0	0	0	0.14726391	0	0	0	0	0.023481151	0.009322306	0	0	0.06656548	0.061026115	0.08537921	0	0	0	0.0066756285	0	0	0.08730028	0	0	0	0	0.0356583	0	0	0	0.019255709	0.015066924	0	0.03730961	0.016555317	0	0.019659061	0.08029401	0	0.2984344	0.007188665	0	0	0.007862115	0.05878813	0	0.032590408	0.08634625	0	0	0	0.044116758	0	0	0.1298607	0.03013703	0	0	0.016067883	0.011781512
MEGAHIT-MetaBAT2-S934.40	0.17757629	0.056373335	0.25255218	0.032280892	0.050014585	0.19071059	0.07237355	0.12038557	0.034352895	0.054554187	0.044096276	0.043715917	0.009788497	0.014235479	0.025439294	0.14346698	0.106263556	0.077844076	0.081252806	0.13284399	0.17162997	0.13433328	0.17249855	0.06932447	0.025171936	0.02622712	0.0568231	0.06965792	0.11403636	0.06747754	0.030612782	0.09908484	0.11135593	0.026425907	0.08323993	0.11701209	0.058568574	0.09628589	0.13755257	0.023756396	0.04484669	0.039431587	0.10498526	0.07593419	0.05909248	0.14383277	0.049213987	0.074301	0.13233696	0.11917804	0.07505075	0.051627584	0.11744558	0.06372431	0.04700489	0.094563656	0.040152732	0.09156032	0.03927306	0.03409233
MEGAHIT-MetaBAT2-S964.185	0	0	0.02134193	0.15527467	0.03598417	0.097888425	0.10783988	0.060327888	0.17505357	0.21414424	0.27085817	0.012808497	0.12422848	0.23897372	0.24946333	0.26102033	0.083319776	0.28609335	0.018278554	0.081668586	0	0.15659536	0.100473955	0.012839366	0	0.13560745	0.09261565	0	0.17157668	0.1650344	0.18996434	0.2840244	0.042438257	0.13383482	0.085496835	0	0.46661997	0.06024172	0.10516276	0.04947534	0.16457129	0.017863814	0.07244375	0.036602218	0.22042073	0.022296155	0.28611505	0.38356373	0.030108456	0.025572963	0.009367936	0.112863146	0.031934515	0.077576004	0.047763623	0.009963702	0.13756554	0.027051523	0.06402255	0.16247053
MEGAHIT-MetaBAT2-S946.13	0.072162546	0.050511107	0.03521677	0.07894787	0.050581113	0.1239066	0.061203647	0.056316484	0.08499888	0.053680327	0.024325851	0.09827984	0.10496221	0.13797902	0.0332974	0.04001234	0.027009953	0.018787842	0.009381296	0.026957257	0.06607189	0.066718206	0.17272988	0.008903335	0.0049169254	0.015977936	0.037916165	0.042648654	0.081630975	0.057919186	0.07127565	0.098269664	0.14220724	0.02569258	0.036448065	0.077769466	0.082285166	0.14238854	0.16077383	0.093226075	0.0905936	0.1407145	0.1410361	0.057554696	0.0631537	0.030131267	0.037588663	0.04930993	0.014528755	0.058082316	0.034359843	0.011016766	0.04963797	0.013278014	0.037774794	0.049418688	0.06256432	0.082713656	0.068386875	0.047753572
966_SemiBin_49	0	0	0	0.007841857	0	0	0.009110936	0.05393073	0.020208852	0.05509968	0.09020895	0	0.00739683	0.023437973	0.051472668	0	0	0.1693038	0	0.008956919	0	0.015326068	0	0	0	0.014451301	0.016969204	0	0	0.012843837	0.012343401	0.012980517	0	0.51342076	0.010197693	0	0.040790636	0.015009317	0	0.020329574	0.007694446	0	0	0	0.019222336	0	0.06532989	0.030882487	0.07994753	0	0	0.02275912	0	0.013321985	0.03565247	0	0.0148785515	0	0.0107680475	0.033039168
MEGAHIT-MetaBAT2-S947.28	0	0	0	0.26771155	0	0	0	0	0	0.009720881	0	0	0.40966344	0.018149963	0.23852786	0	0	0	0	0	0	0.1033117	0	0	0	0	0	0	0	0	0	0.013972848	0	0	0	0	0.0121556455	0	0	0.012946401	0	0	0	0	0	0	0.0060151084	0	0	0	0	0	0	0	0	0	0	0	0	0
968_SemiBin_313	0.022390464	0.025689028	0.009726777	0.023650365	0.0130501	0.012789585	0.019412158	0.037659004	0.042047326	0.03609789	0.012614966	0.024541765	0.025003947	0.034676682	0.082563855	0.022588449	0	0.09471757	0.023385042	0.020566626	0.02320731	0.033111777	0.07221533	0.030461926	0.010140844	0.021250224	0.020566544	0.011246561	0.050770324	0.039334547	0.1466396	0.08359728	0.024771526	0.021564897	0.079411685	0.22401439	0.024720583	0.012793136	0.022297356	0.05399964	0.15382184	0.03803165	0.044426803	0.042993005	0.031219719	0.015068303	0.018929984	0.041168973	0.03487933	0	0.019034356	0.028779134	0.020330898	0.031201195	0.017787145	0.034463	0.03744547	0.026796095	0.02531543	0.045031123
MEGAHIT-MetaBAT2-S935.158	0	0	0	0.17152135	0	0	0	0	0	0.009901529	0	0	0.015969595	0.011610242	0.012645731	0	0	0	0	0	0	0.029422347	0.018650051	0	0	0	0	0	0	0.0110505605	0	0.016593868	0	0	0.008580189	0	0.011578534	0.014267338	0	0.022177938	0.032586027	0	0	0.020400174	0	0	0.012174694	0	0	0	0	0	0	0	0	0.0110643795	0	0	0	0
MEGAHIT-MetaBAT2-S939.26	0.021178178	0.005828361	0.028732548	0	0.073142245	0.0037990985	0.30708706	0.0123197865	0.08510431	0.054049097	0.050774127	0.09160434	0.0440989	0.3086376	0.0032179654	0.06393459	0	0.015207727	0.18986756	0	0	0.014614799	0.2690812	0	0	0.077031255	0.010801725	0.01963434	0.013258539	0.5698216	0.01582545	0.041299533	0	0.0028787735	0.015337536	0.21607774	0.1800131	0.020304853	0	0.035752814	0.007902952	0.004820869	0.0026656913	0.02229968	0.020814937	0.06298011	0.004240316	0.005463924	0	0	0.14186333	0.0026784732	0	0.003532091	0.007943353	0.37860662	0.01655525	0.006629998	0.17767592	0
MEGAHIT-MetaBAT2-S954.181	0.0047008717	0.09982308	0.0057894993	0	0.021856174	0.0055179647	0.033505637	0	0.009244415	0	0.010468213	0.011659317	0.0039437576	0.027459903	0.00502335	0.0045505175	0.013362455	0.05201154	0	0	0.009646097	0.23106284	0	0.0033307548	0	0.008819791	0	0.013737558	0	0.29601604	0.028537638	0	0	0	0.023503968	0.0057918997	0.02397848	0.039222036	0.0066216746	0.16620828	0.017917128	0	0	0.048623398	0.0059342775	0.015453661	0.016847335	0	0.007693127	0	0.0057087047	0	0	0	0.23381011	0.01651559	0.029568385	0.004484412	0.08032841	0.008959756
