X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
P2	0	0	0	0	0	0	0	0	0	14.4867839813232	14.8536071777344	13.7555999755859	0	0	0	0	0	0	0	0	0	14.5377130508423	0	0	0	0	0	0	0	14.9343109130859	0	0	0	0	0	0	0	13.9000463485718	0	0	0	0	0	0	0	0	0	13.7990093231201	0	0	0	0	0	0	0	0	0	0	0	0
P3	13.9824619293213	0	14.192572593689	0	0	0	0	0	14.417854309082	0	0	0	15.6230297088623	0	13.9905643463135	0	0	0	0	0	0	14.5607795715332	0	0	0	0	0	0	14.0285511016846	0	15.6491069793701	0	0	0	0	0	0	0	0	0	0	0	0	0	14.88294506073	13.6868829727173	0	0	0	0	0	0	0	0	0	0	14.49010181427	14.4778614044189	14.0765361785889	0
P4	0	15.2247495651245	0	14.8844432830811	0	0	14.7763023376465	15.6620235443115	0	0	15.0486183166504	0	0	0	0	15.6539669036865	0	15.3219156265259	0	0	15.2465448379517	14.905442237854	14.5256729125977	14.9451808929443	0	15.488489151001	15.4242143630981	0	15.5422430038452	15.1745729446411	13.949592590332	15.3196973800659	0	15.8959522247314	0	15.0326385498047	14.6839389801025	0	15.4009256362915	15.1130456924438	0	15.2851438522339	0	0	0	0	0	0	14.6065835952759	0	0	0	0	17.0577487945557	15.3043251037598	0	14.6999855041504	0	15.4664630889893	16.0217666625977
P7	15.9430017471313	13.545783996582	14.2669792175293	14.681079864502	15.2551403045654	15.2844285964966	16.4504165649414	16.3165302276611	16.6246871948242	16.7923812866211	16.8855800628662	16.8722972869873	16.7063636779785	16.4194316864014	16.6875953674316	15.350456237793	16.2151355743408	17.0619983673096	14.5410900115967	16.744535446167	16.3775501251221	16.7249698638916	17.3929920196533	15.7038555145264	14.6076622009277	16.215503692627	16.9970836639404	15.7022647857666	16.9761924743652	17.0654811859131	16.7606048583984	16.7146053314209	15.8675222396851	16.482723236084	15.6065940856934	15.890944480896	16.9516887664795	17.009105682373	16.1984806060791	16.6862049102783	16.0178833007813	15.663330078125	15.4994869232178	0	15.8863878250122	15.5604162216187	16.2806186676025	17.1047496795654	15.7551183700562	15.8525419235229	15.4981670379639	16.150182723999	16.2828750610352	16.0418758392334	16.6579093933105	16.4284744262695	16.1270847320557	0	16.0276279449463	16.5179576873779
P8	0	0	0	0	0	0	0	0	0	0	15.7920513153076	15.3908166885376	0	0	0	0	0	0	0	0	0	0	15.3264722824097	0	0	0	0	0	0	0	15.3775806427002	0	0	0	0	0	14.4354591369629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.4696416854858	0	0	0	0	13.1506824493408	0
P9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0640125274658	0	0	0	0	14.9514532089233	0	0	14.00514793396	13.917088508606	15.2093133926392	14.9855575561523	0	15.4150314331055	14.1615304946899	0	0	0	0	14.2776765823364	15.1074275970459	0	0	0	14.8244981765747	0	0	0	0	0	0	0	0	0	0	14.7114572525024	0	0	14.4230327606201	0	0	0	0	0	0	0
P12	0	0	0	13.3459911346436	0	0	0	0	13.8047399520874	0	12.8321809768677	0	13.3572092056274	15.6038284301758	0	0	0	0	0	0	0	13.0567541122437	0	0	0	0	0	0	0	0	0	13.2442140579224	0	0	13.0071430206299	0	13.1823892593384	0	0	13.4833908081055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.8807201385498	0	0
P13	0	14.6864728927612	0	14.1125679016113	13.9148597717285	0	0	0	14.0524673461914	0	0	13.7660894393921	0	0	14.6831521987915	14.4193630218506	0	0	0	13.6006336212158	14.452467918396	0	0	0	0	14.6588659286499	13.9770374298096	14.3707370758057	13.7926683425903	15.2596302032471	0	14.7035398483276	14.6463651657104	14.502082824707	14.0346984863281	0	0	14.3808059692383	14.1205911636353	0	0	14.3832225799561	14.4035396575928	0	0	0	0	0	0	0	0	0	0	14.0531492233276	0	0	0	0	0	14.026686668396
P15	0	0	0	0	0	0	0	14.2939949035645	0	0	0	15.2365818023682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.6753644943237	15.1607475280762	16.4578247070313	0	0	0	0	0	0	0	0	15.2573375701904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4225463867188	14.8403148651123	14.2304077148438	0	0
P17	0	0	0	0	0	0	0	0	0	0	14.8829307556152	0	0	0	0	0	0	0	0	15.2105865478516	0	0	0	0	0	15.9383125305176	0	15.7346305847168	0	0	0	15.3470849990845	0	0	0	0	15.0087308883667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P19	0	0	0	14.8028049468994	0	0	0	0	0	15.2370805740356	14.7933330535889	0	0	17.5339660644531	0	0	0	0	0	0	0	0	0	0	14.2476148605347	0	0	0	14.634256362915	0	0	0	0	0	0	0	0	15.6116828918457	0	0	0	14.2635059356689	0	0	15.6640310287476	0	0	0	0	0	14.4451093673706	0	0	0	14.5533990859985	15.510365486145	0	0	14.3715848922729	0
