Bin	X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
932_SemiBin_102	270413.2711797257	151275.6951893472	210747.89063928355	101903.17767817956	178326.2454451772	184927.98212287365	237117.7999609818	260996.78347329088	227530.04592036543	243533.82613914734	338827.0027047214	215369.897029807	167893.89216429286	389728.2849658034	174455.560494386	147526.94084681862	261101.8284200477	222413.85413072334	198003.981002475	286724.7350888619	179707.7698268909	221288.90982957068	380123.732551057	68843.18115245814	406398.7429125187	218959.66734857648	191643.05289959573	250556.78727182065	411620.8761474274	319686.0803557406	460694.41293848085	184212.93202834457	101760.44824188246	111439.97907856965	93428.34297111933	114616.95155841333	246395.0786112256	197260.0259276086	174182.75918793722	265955.52731207607	116309.24132524108	121332.15046063036	97958.39588399537	0	275683.1806153176	196366.55749057003	260946.54101901158	207826.0804800407	203314.80587858794	182908.39156362932	183989.13702031996	165007.67491158395	210919.37121654852	218678.01825507378	193539.90369545878	357075.8475344586	223980.15511545548	287947.24968671397	353307.9182111158	214565.91865281053
932_SemiBin_106	1090196.2954845706	769065.4530807998	715859.1311631327	1485422.3039428627	1453711.3369471764	540926.7689550833	1104189.6791108516	1490830.8236711875	2291266.187907546	2094065.4707494034	1640741.3375356249	1196608.897472641	1726678.8536094658	885616.85988681	2521361.7103137053	1119020.5642124913	1974229.7459765016	1782848.560695274	1057711.9607506837	1460380.3331495193	948910.5100374307	455512.0857560501	1154582.8433532808	1358227.7772369646	980665.1592741013	702547.2481558573	639184.365734238	929375.0303719281	1304096.7997900222	651282.2971184038	1398246.7587979743	1418167.9299708747	959724.2789237965	1197891.2330918675	502238.4079045276	470998.47549349506	1130795.1005087013	1045286.8604958216	1212399.6422965408	551855.6214923767	143535.21945872332	711929.8101438904	891393.4530425223	213921.96543203585	1318787.1035381448	694550.158768096	1090888.8318977207	1853589.2402125678	1639976.4612168248	1962841.4970089083	1365419.261049293	2175116.0981611824	1651898.2088048884	1139971.3974289005	844042.1690474036	884488.3453906506	1605109.692988323	785109.447762246	1029898.4694199788	2431400.501154809
932_SemiBin_124	2641240.6919734073	1351750.4198471315	1881634.7164000175	1490585.9629953965	1998178.995803514	999525.5132830917	1453482.3443037458	1796714.4359088803	1303773.774040129	1173104.9577854672	1254306.874983817	1667261.010192628	1206054.607428513	728788.0387568459	1310655.5321052007	696617.3635109279	1335227.3439929856	1712616.6886738818	1484608.2033699166	2344752.0015253765	1463461.6852404827	2612025.161203503	2647292.50223704	725751.8634372366	838227.0453701515	721667.3209162639	1239063.987321362	2077462.526324081	1564253.6503853751	1871521.3230792321	1392874.0379071648	669439.1748185985	395690.25714387663	873943.3525573495	1019315.554470473	1597398.590091256	1100998.9275609043	1989628.5542986542	1177367.3463354737	605752.2343720756	596549.1087935742	508897.1434383994	854303.3854063682	311158.0559162968	1256624.2367885066	1071123.5671834406	1179964.1163168566	1468837.9676207844	1468992.7471488875	2127135.3468295443	1459860.2452052054	1107287.0032637552	1431641.0530360262	683229.8151304389	1768504.5100006217	1186441.3170380467	1447739.4435269355	969433.9719673187	1383265.0946672163	1560982.493574091
932_SemiBin_153	1120428.6715896179	3243726.2755291695	1597423.078892409	303016.28271966305	3274313.0219052588	410304.828298417	865976.7395586715	1606856.4420638634	400373.1210488495	531228.6933939379	323358.338572588	821310.3584966995	375618.60946564376	158475.2364012601	359555.7467992074	280885.8948633084	1468686.4414813593	1105668.5283306476	775291.268313337	906594.5019512782	892598.109327539	213694.69533611907	787268.199199842	792313.2594696988	719370.0924534939	616656.0045497612	367737.9175810476	3204467.3041303842	1245242.4919627197	196053.15768286504	326543.0454101754	435478.46481421747	372841.8853082864	402583.54595418955	374828.4567916591	1652240.6446500625	412975.44043782604	251978.2054760957	605261.3299048751	137867.5283551955	0	313589.44646219886	196139.16031488572	454509.6273779057	335922.3369154161	602425.3976212799	517186.8581306155	475847.25267374946	1256812.3483865822	1052751.645814032	891553.3962876059	485922.76416854654	846642.3925870305	843609.1504663697	289944.36026873684	1551764.7220427275	768024.2434130178	610988.5201112619	339533.8757615641	427225.92006979126
932_SemiBin_172	6853599.325202481	2177226.2585163303	640402.7151911218	1499829.7122610975	993286.7928455826	1659576.58806977	1362775.0502784338	881981.8983882585	3097986.8152769944	1573474.908503982	1758875.3042648232	859799.2673021574	1432091.65375919	662010.2331752065	2507049.364596976	886812.8039881155	1240639.6840333396	479939.421704372	399228.64623047377	829667.9030906506	499978.31705885014	321354.4607225888	1471525.3557967213	1463920.0258009904	589065.4283065266	489451.86118290003	491744.15839801973	207103.34330773464	1141772.5919159285	435588.71306516294	1038705.9961044311	782825.2537964177	662190.6277674028	968651.5984844655	391453.55357187724	175152.55355829833	643309.7829040311	420131.5299667035	1266072.2203615857	1515589.2321455178	185756.9278194063	998984.4089391037	1076931.319915493	41029.58836843629	1403223.3953882328	412930.299554325	757177.386385953	1485491.876782634	1125694.4562169039	1337043.7204174818	1187780.7998123677	1696181.303915408	1234869.8511636914	617392.6824191792	413412.9343153832	540612.161776521	2149946.2648177994	1349532.9033618388	1019698.6470623256	2642311.1017516893
932_SemiBin_176	627592.041458611	237277.10441274344	183136.40849334234	26412.380177286883	444218.11647593393	218290.91040253692	85405.42089801941	95625.72412745844	428723.0993492805	192008.3944526566	708392.9301867133	1105629.3898490327	289982.2703949539	125453.47455345614	205328.71409771073	190878.8405781613	123605.3958542558	176238.31645303644	122526.03269730062	171206.23090951095	89467.79591922759	150169.30241658574	411912.22640023543	19590.95679429833	0	95559.7398049229	0	53527.76700668421	153296.34762813273	37157.33188700474	227098.8495801993	107293.04448147435	154235.7288632434	159739.55203613226	31550.274833545016	242779.10071790215	181908.39983335938	650875.3350228171	190693.7124655717	260607.3571767456	0	67273.46765821717	187542.88440513582	0	262938.881509378	800861.3353634386	169243.26832737788	513353.14680003806	236993.56691931654	22146.93176858721	375108.80228659575	150146.15414879005	91176.64398991909	25052.03850204242	274245.7098799602	35510.22225723925	193094.3746075684	245636.61073960614	274121.6147430813	216028.45167706808
932_SemiBin_178	0	0	0	0	0	0	49546.07768688876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42511.69625742311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26258.453102751926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
932_SemiBin_216	174732.99859598983	573912.8862165834	105608.55893948	177063.76061321623	92395.86588532099	0	551988.8281006395	190004.16145376436	253963.98355401814	62460.54522351998	54327.888460018105	96092.71686600582	530546.92314636	0	161649.02526330284	33705.27106648553	27592.18714234821	640853.3674813792	8888.31884215823	0	38347.572892337055	224273.93240490582	196621.3364276612	19901.270170531883	0	108852.76836046616	220010.06377685012	199546.0009921963	98851.34654907478	613753.9208757587	192595.4801027865	185064.82731343815	0	140820.00631368833	161343.97942992195	122941.92224837403	497106.48383437487	197981.85347451555	15505.353752904535	66846.47912703396	64519.323676050844	11496.37655469145	36782.668060203956	0	263665.5361390022	149404.3763190077	157514.45917798206	222663.52377857012	257193.3396698717	0	26831.82425464078	0	38515.166405950375	53742.69861162157	175018.8129390546	166070.42264208943	83419.65814527114	69032.96607532342	118418.36239456767	31984.557213416207
932_SemiBin_237	19622813.25198237	16115947.643779643	29199546.991131045	37911218.25636854	21454688.361821134	17510464.029089056	24813057.751281653	23897086.808336154	43468955.027566426	32168374.97993482	35761731.987609155	43034027.20680784	29623623.9665151	17196399.11904528	35223774.20526118	21537843.429743268	25716757.698320247	46655888.810744636	14723201.615209408	32739971.476370122	18291750.918559715	33124217.302715752	39011790.39565564	13642940.542919818	13579733.534051761	30791752.69179968	31977367.23755661	18321583.16465148	21819409.611170582	37620923.66796541	50187108.0063399	29096556.2865304	13103184.388739144	29174350.394123584	19997733.873973384	11662988.732655937	26803707.62242179	28090403.201564066	17322953.181056924	31528693.884477668	17858303.94727229	14849904.036242673	22497084.040608384	10707736.23233416	37572355.09424029	22362590.781459678	33305618.262053017	42030281.65865406	34546922.88436163	23072756.48565641	23608339.753109463	25859707.62218254	31701856.734741595	28406137.63102784	30788079.685079154	19339937.439817086	37784149.66458795	20377565.05686689	26241450.828357033	46867557.79574554
933_SemiBin_193	1580630.7338027554	2057692.7939656992	1556346.653227246	1552595.8268452086	1872340.7648882098	1031781.5831374865	2189884.4366645603	1851660.08093517	1908011.5558602677	2497624.964447328	2028914.3631452252	1763722.9625879203	1337894.581254285	627488.7159462853	2447496.182226066	2175087.855096245	2186643.0593238347	2099444.162590041	1529343.8659199409	2053136.9664281288	2536732.4612345253	1300735.1684835728	2549077.8170499327	1316242.7879235642	1235687.1926203512	1064035.1255389932	2141401.818534722	1141762.128218235	2194369.2151432573	1518521.1135196185	1634452.327337456	1698856.0984806372	1631180.9146318978	899338.5117147473	445967.1224875544	763314.5961491022	1479988.761930425	2326098.779048821	2246669.67958119	475372.97458515735	118495.50015267842	1124634.296831093	1226841.9498941677	0	1808578.9852351418	1359029.0055373188	1657695.2793688916	2033277.1506406642	1223455.9639173746	3368783.9094920214	1438996.249829782	1247724.3285829579	2969601.6731597525	1072703.07343241	1010713.6322141016	1355842.0486424982	1436830.3743766963	2004744.4758786405	1726024.1351665691	1913615.7353613733
