X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
1	29661.0145811843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	22959.1877263425	29606.1069938534	13830.8286538246	NA	NA	NA	NA	NA	NA	NA	NA	NA	23784.1533669313	NA	NA	NA	NA	NA	NA	NA	31309.4579875961	NA	NA	NA	NA	NA	NA	NA	15287.3036512049	NA	NA	NA	NA	NA	NA	NA	NA	NA	14253.3095355635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	16186.0342097976	NA	18723.6306874952	NA	NA	NA	NA	NA	21888.0272208523	NA	NA	NA	50466.1954709255	NA	16277.1934321049	NA	NA	NA	NA	NA	NA	24167.4824163213	NA	NA	NA	NA	NA	NA	16711.4709104228	NA	51386.6855055981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30214.3243541641	13187.495423602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23012.0487994051	22817.6311695042	17276.6535661782	NA
4	NA	38291.8452903341	NA	30245.7178836077	NA	NA	28061.4577768804	51848.8203193852	NA	NA	33891.0876461007	NA	NA	NA	NA	51560.0807850896	NA	40959.6460084327	NA	NA	38874.7246969901	30689.174896749	23586.4865948873	31546.2499038368	NA	45972.6800072684	43969.4651503616	NA	47717.9023455778	36982.9565892375	15821.4322909909	40896.7160251755	NA	60975.9294980358	NA	33517.7700749861	26321.2243857403	NA	43265.3854828296	35438.8874379203	NA	39928.8486578829	NA	NA	NA	NA	NA	NA	24947.0844010677	NA	NA	NA	NA	136425.026137894	40463.2646598379	NA	26615.6190951771	NA	45276.1319170288	66532.27117557
5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11843.6098495712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22731.4575466465	NA	NA
6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30257.1363431684	NA	NA	NA	NA	NA	NA	37790.9791964948	NA	NA
7	62997.2724937421	11958.791601125	19714.6327805144	26269.1129552392	39107.0286682989	39909.057739561	89550.6674667163	81614.0676548494	101048.416958215	113503.816820089	121078.238245454	119968.596783359	106934.190353271	87647.8867380805	105552.071542934	41778.0124232935	76075.0403948028	136827.469304003	23839.8908756857	109801.287548608	85140.0386812749	108322.233360496	172112.460099454	53374.2219734432	24965.742625188	76094.4541903962	130807.312107046	53315.4035005125	128926.783216557	137158.184334243	111031.142285831	107546.819250489	59786.0899237418	91578.6219905788	49894.5316040789	60764.6426459009	126755.495081637	131901.887354456	75201.8538172102	105450.390365866	66353.4243265645	51895.7969281961	46324.4723520178	NA	60573.0243485679	48322.7929644202	79607.6065722885	140942.743803412	55304.8494741696	59168.5091316701	46282.1106430912	72725.9554167412	79732.211299946	67466.1324090193	103402.346062984	88198.9846011387	71570.8618470572	NA	66803.1237464843	93842.7510807079
8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56738.9296724431	42963.2850616527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41089.2188292041	NA	NA	NA	NA	NA	NA	NA	42570.9198411547	NA	NA	NA	NA	NA	22156.7573431572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45375.9958560499	NA	NA	NA	NA	9093.89385376705	NA
9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8563.66430208863	NA	NA	NA	NA	31683.7001584578	NA	NA	16442.5670620866	15468.9591790149	37884.3242132081	32441.6045524579	NA	43690.4829586807	18325.0624526802	NA	NA	NA	NA	19861.3570879908	35301.150851162	NA	NA	NA	29014.735897506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26828.0997810447	NA	NA	21966.7339138767	NA	NA	NA	NA	NA	NA	NA
10	38235.1623903487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
