X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
P2	0	0	0	0	0	0	0	0	0	22959.1877263425	29606.1069938534	13830.8286538246	0	0	0	0	0	0	0	0	0	23784.1533669313	0	0	0	0	0	0	0	31309.4579875961	0	0	0	0	0	0	0	15287.3036512049	0	0	0	0	0	0	0	0	0	14253.3095355635	0	0	0	0	0	0	0	0	0	0	0	0
P3	16186.0342097976	0	18723.6306874952	0	0	0	0	0	21888.0272208523	0	0	0	50466.1954709255	0	16277.1934321049	0	0	0	0	0	0	24167.4824163213	0	0	0	0	0	0	16711.4709104228	0	51386.6855055981	0	0	0	0	0	0	0	0	0	0	0	0	0	30214.3243541641	13187.495423602	0	0	0	0	0	0	0	0	0	0	23012.0487994051	22817.6311695042	17276.6535661782	0
P4	0	38291.8452903341	0	30245.7178836077	0	0	28061.4577768804	51848.8203193852	0	0	33891.0876461007	0	0	0	0	51560.0807850896	0	40959.6460084327	0	0	38874.7246969901	30689.174896749	23586.4865948873	31546.2499038368	0	45972.6800072684	43969.4651503616	0	47717.9023455778	36982.9565892375	15821.4322909909	40896.7160251755	0	60975.9294980358	0	33517.7700749861	26321.2243857403	0	43265.3854828296	35438.8874379203	0	39928.8486578829	0	0	0	0	0	0	24947.0844010677	0	0	0	0	136425.026137894	40463.2646598379	0	26615.6190951771	0	45276.1319170288	66532.27117557
P7	62997.2724937421	11958.791601125	19714.6327805144	26269.1129552392	39107.0286682989	39909.057739561	89550.6674667163	81614.0676548494	101048.416958215	113503.816820089	121078.238245454	119968.596783359	106934.190353271	87647.8867380805	105552.071542934	41778.0124232935	76075.0403948028	136827.469304003	23839.8908756857	109801.287548608	85140.0386812749	108322.233360496	172112.460099454	53374.2219734432	24965.742625188	76094.4541903962	130807.312107046	53315.4035005125	128926.783216557	137158.184334243	111031.142285831	107546.819250489	59786.0899237418	91578.6219905788	49894.5316040789	60764.6426459009	126755.495081637	131901.887354456	75201.8538172102	105450.390365866	66353.4243265645	51895.7969281961	46324.4723520178	0	60573.0243485679	48322.7929644202	79607.6065722885	140942.743803412	55304.8494741696	59168.5091316701	46282.1106430912	72725.9554167412	79732.211299946	67466.1324090193	103402.346062984	88198.9846011387	71570.8618470572	0	66803.1237464843	93842.7510807079
P8	0	0	0	0	0	0	0	0	0	0	56738.9296724431	42963.2850616527	0	0	0	0	0	0	0	0	0	0	41089.2188292041	0	0	0	0	0	0	0	42570.9198411547	0	0	0	0	0	22156.7573431572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45375.9958560499	0	0	0	0	9093.89385376705	0
P9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8563.66430208863	0	0	0	0	31683.7001584578	0	0	16442.5670620866	15468.9591790149	37884.3242132081	32441.6045524579	0	43690.4829586807	18325.0624526802	0	0	0	0	19861.3570879908	35301.150851162	0	0	0	29014.735897506	0	0	0	0	0	0	0	0	0	0	26828.0997810447	0	0	21966.7339138767	0	0	0	0	0	0	0
P12	0	0	0	10412.2276154901	0	0	0	0	14310.0386885986	0	7292.41513627795	0	10493.506340096	49798.9750919222	0	0	0	0	0	0	0	8520.68742425136	0	0	0	0	0	0	0	0	0	9702.99260588993	0	0	8232.66051587845	0	9295.96717646225	0	0	11452.6259468735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15083.8818897135	0	0
P13	0	26367.4949331352	0	17713.5763764051	15445.0805197509	0	0	0	16990.8139468077	0	0	13931.7555062003	0	0	26306.8738813197	21910.9288169383	0	0	0	12422.204657307	22419.5223053574	0	0	0	0	25867.7316489183	16125.2893720001	21184.7293337445	14190.8003940666	39228.9256056184	0	26681.2724019287	25644.5594288442	23203.9504735863	16782.8311218967	0	0	21333.0994803956	17812.3613463026	0	0	21368.8637947753	21671.9245811135	0	0	0	0	0	0	0	0	0	0	16998.8464038316	0	0	0	0	0	16689.8881797209
P15	0	0	0	0	0	0	0	20087.2841870492	0	0	0	38607.1865309708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52330.5025862063	36630.2398721323	90011.6867651684	0	0	0	0	0	0	0	0	39166.6351661263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21959.3295456472	29334.583035698	19221.1590631853	0	0
P17	0	0	0	0	0	0	0	0	0	0	30214.0247640059	0	0	0	0	0	0	0	0	37917.771277205	0	0	0	0	0	62792.8437797543	0	54525.0128612988	0	0	0	41680.5010175347	0	0	0	0	32966.9063388852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P19	0	0	0	28581.7166188889	0	0	0	0	0	38620.5361989741	28394.6804123214	0	0	189779.688017437	0	0	0	0	0	0	0	0	0	0	19451.7840598767	0	0	0	25430.2207112288	0	0	0	0	0	0	0	0	50070.8349219474	0	0	0	19667.2269777691	0	0	51921.0172474732	0	0	0	0	0	22305.4613460145	0	0	0	24044.1630156145	46675.0997803239	0	0	21197.1824442995	0
P21	0	0	0	0	20434.2375057526	0	0	0	43157.2982988498	34482.7776722108	23011.6532957973	0	0	0	0	0	0	0	0	0	0	22482.7747432421	0	0	0	0	0	0	0	0	13114.6280845657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16046.8887711397	0	0	0	0	0	0	0	0	0	0	0	0
P24	0	0	0	0	0	0	0	0	26733.4769009921	0	0	0	0	34680.5367726618	0	0	32538.5952773985	0	0	0	0	0	0	0	239362.455803274	0	0	0	0	0	91494.0305995066	0	0	0	0	0	0	0	0	0	0	0	0	0	40621.3305360378	0	113688.541227765	0	53156.235501749	0	0	0	0	0	0	25481.4259625456	0	0	123745.701855489	68991.5002282226
