SampleID	corral	Tto	sex
X940	C5	control	M
X941	C5	control	F
X942	C5	control	F
X943	C5	control	F
X944	C5	control	M
X945	C5	control	M
X946	C5	control	F
X947	C5	control	M
X955	C3	control	M
X956	C3	control	F
X957	C3	control	F
X958	C3	control	F
X959	C3	control	M
X960	C3	control	M
X961	C3	control	M
X962	C3	control	F
X970	C9	control	F
X971	C9	control	M
X972	C9	control	F
X973	C9	control	F
X974	C9	control	F
X975	C9	control	M
X976	C9	control	M
X986	C7	control	F
X987	C7	control	F
X988	C7	control	F
X989	C7	control	M
X990	C7	control	F
X991	C7	control	M
X992	C7	control	M
X993	C7	control	M
X932	C6	stress	F
X933	C6	stress	M
X934	C6	stress	F
X935	C6	stress	M
X937	C6	stress	M
X938	C6	stress	F
X939	C6	stress	M
X948	C4	stress	M
X949	C4	stress	F
X950	C4	stress	M
X951	C4	stress	F
X952	C4	stress	M
X953	C4	stress	M
X954	C4	stress	F
X963	C10	stress	M
X964	C10	stress	M
X965	C10	stress	F
X966	C10	stress	F
X967	C10	stress	F
X968	C10	stress	F
X969	C10	stress	M
X978	C8	stress	M
X979	C8	stress	M
X980	C8	stress	F
X981	C8	stress	M
X982	C8	stress	F
X983	C8	stress	M
X984	C8	stress	F
X985	C8	stress	F
