TREE_COLORS
SEPARATOR TAB
DATA
#NODE_ID	TYPE	COLOR	LABEL
MEGAHIT-MetaBAT2-S947.49	range	#b3cde3	Spirochaetota
935_SemiBin_210	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S972.76	range	#fff7bc	Bacteroidota
MEGAHIT-MetaBAT2-S934.40	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S964.185	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S946.13	range	#a8ddb5	Bacillota_A
966_SemiBin_49	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S947.28	range	#fff7bc	Bacteroidota
968_SemiBin_313	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S935.158	range	#fc9272	Bacillota_I
MEGAHIT-MetaBAT2-S939.26	range	#B0B0B0	NA
MEGAHIT-MetaBAT2-S954.181	range	#a8ddb5	Bacillota_A
940_SemiBin_253	range	#fff7bc	Bacteroidota
MEGAHIT-MetaBAT2-S938.190	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S945.168	range	#a8ddb5	Bacillota_A
954_SemiBin_346	range	#fff7bc	Bacteroidota
966_SemiBin_91	range	#fff7bc	Bacteroidota
MEGAHIT-MetaBAT2-S970.122	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S982.57	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S968.183	range	#80b1d3	Elusimicrobiota
935_SemiBin_236	range	#fff7bc	Bacteroidota
MEGAHIT-MetaBAT2-S973.168	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S951.45	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S946.49	range	#fff7bc	Bacteroidota
MEGAHIT-MetaBAT2-S992.120	range	#fc9272	Bacillota_I
MEGAHIT-MetaBAT2-S980.201	range	#fc9272	Bacillota_I
946_SemiBin_296	range	#fff7bc	Bacteroidota
group6_bins.205	range	#a8ddb5	Bacillota_A
988_SemiBin_105	range	#a8ddb5	Bacillota_A
986_SemiBin_166	range	#c7e9c0	Bacillota
group4_bins.297	range	#a8ddb5	Bacillota_A
972_SemiBin_103	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S983.160	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S954.88	range	#a8ddb5	Bacillota_A
group7_bins.370	range	#a8ddb5	Bacillota_A
932_SemiBin_153	range	#fc9272	Bacillota_I
MEGAHIT-MetaBAT2-S971.10	range	#c7e9c0	Bacillota
932_SemiBin_216	range	#a8ddb5	Bacillota_A
970_SemiBin_87	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S974.91	range	#a8ddb5	Bacillota_A
group8_bins.276	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S956.103	range	#fbb4ae	Pseudomonadota
983_SemiBin_276	range	#a8ddb5	Bacillota_A
935_SemiBin_192	range	#b3cde3	Spirochaetota
MEGAHIT-MetaBAT2-S957.55	range	#fc9272	Bacillota_I
MEGAHIT-MetaBAT2-S976.28	range	#decbe4	Myxococcota
969_SemiBin_225	range	#a8ddb5	Bacillota_A
962_SemiBin_76	range	#fc9272	Bacillota_I
MEGAHIT-MetaBAT2-S945.141	range	#fff7bc	Bacteroidota
962_SemiBin_32	range	#a8ddb5	Bacillota_A
983_SemiBin_128	range	#fc9272	Bacillota_I
949_SemiBin_129	range	#a8ddb5	Bacillota_A
group4_bins.141	range	#a8ddb5	Bacillota_A
group3_bins.182	range	#b3cde3	Spirochaetota
954_SemiBin_8	range	#ffffcc	Verrucomicrobiota
MEGAHIT-MetaBAT2-S968.229	range	#a8ddb5	Bacillota_A
group4_bins.272	range	#a8ddb5	Bacillota_A
983_SemiBin_140	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S968.138	range	#fccde5	Desulfobacterota
MEGAHIT-MetaBAT2-S974.98	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S968.150	range	#ffd9b3	Actinomycetota
945_SemiBin_185	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S972.52	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S973.44	range	#a8ddb5	Bacillota_A
group10_bins.56	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S959.110	range	#a8ddb5	Bacillota_A
947_SemiBin_204	range	#fff7bc	Bacteroidota
MEGAHIT-MetaBAT2-S970.191	range	#a8ddb5	Bacillota_A
939_SemiBin_87	range	#ffffcc	Verrucomicrobiota
MEGAHIT-MetaBAT2-S981.125	range	#fff7bc	Bacteroidota
956_SemiBin_125	range	#a8ddb5	Bacillota_A
981_SemiBin_432	range	#fdae6b	Bacillota_C
993_SemiBin_0	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S945.11	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S970.199	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S988.167	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S964.207	range	#a8ddb5	Bacillota_A
group10_bins.221	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S932.114	range	#fff7bc	Bacteroidota
group9_bins.244	range	#b3cde3	Spirochaetota
group9_bins.268	range	#a8ddb5	Bacillota_A
976_SemiBin_36	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S982.27	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S934.132	range	#a8ddb5	Bacillota_A
MEGAHIT-MetaBAT2-S944.121	range	#a8ddb5	Bacillota_A
