DATASET_COLORSTRIP
SEPARATOR	TAB
DATASET_LABEL	Phylum_Colors
COLOR	#ff0000
COLOR_BRANCHES	1
LEGEND_TITLE	Phylum	Colors
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#1f77b4	#ff7f0e	#2ca02c	#d62728	#e0ba1d	#dd3cf6	#9467bd	#8c564b	#e377c2	#7f7f7f	#bcbd22	#17becf	#aec7e8	#ffbb78	#98df8a	#ff9896	#c5b0d5	#c49c94	#f7b6d2	#dbdb8d
LEGEND_LABELS	Spirochaetota	Bacillota_A	Bacteroidota	Bacillota_I	Methanobacteriota	Thermoplasmatota	Elusimicrobiota	Bacillota	Pseudomonadota	Myxococcota	Verrucomicrobiota	Desulfobacterota	Actinomycetota	Bacillota_C	Fibrobacterota	Bacillota_B	Patescibacteria	Eremiobacterota	Cyanobacteriota	Planctomycetota
LEGEND_POSITION_X	100
LEGEND_POSITION_Y	180
SHOW_LABELS	0
SHOW_STRIP_LABELS	0
STRIP_WIDTH	7
DATA
MEGAHIT-MetaBAT2-S947.49	#1f77b4	Spirochaetota
935_SemiBin_210	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S972.76	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S934.40	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S964.185	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S946.13	#ff7f0e	Bacillota_A
966_SemiBin_49	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S947.28	#2ca02c	Bacteroidota
968_SemiBin_313	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S935.158	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S939.26	#e0ba1d	Methanobacteriota
MEGAHIT-MetaBAT2-S954.181	#ff7f0e	Bacillota_A
940_SemiBin_253	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S938.190	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S945.168	#ff7f0e	Bacillota_A
954_SemiBin_346	#2ca02c	Bacteroidota
966_SemiBin_91	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S970.122	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S982.57	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S968.183	#9467bd	Elusimicrobiota
935_SemiBin_236	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S973.168	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S951.45	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S946.49	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S992.120	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S980.201	#d62728	Bacillota_I
946_SemiBin_296	#2ca02c	Bacteroidota
group6_bins.205	#ff7f0e	Bacillota_A
988_SemiBin_105	#ff7f0e	Bacillota_A
986_SemiBin_166	#8c564b	Bacillota
group4_bins.297	#ff7f0e	Bacillota_A
972_SemiBin_103	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S983.160	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S954.88	#ff7f0e	Bacillota_A
group7_bins.370	#ff7f0e	Bacillota_A
932_SemiBin_153	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S971.10	#8c564b	Bacillota
932_SemiBin_216	#ff7f0e	Bacillota_A
970_SemiBin_87	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S974.91	#ff7f0e	Bacillota_A
group8_bins.276	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S956.103	#e377c2	Pseudomonadota
983_SemiBin_276	#ff7f0e	Bacillota_A
935_SemiBin_192	#1f77b4	Spirochaetota
