MAG	Control	Stress
932_SemiBin_102	468.397486181483	441.998929632347
932_SemiBin_106	1052.10983083711	1078.63965586229
932_SemiBin_124	1089.92741654821	1177.38189661258
932_SemiBin_153	739.55450571507	884.740494661341
932_SemiBin_172	993.211482134546	1007.22321346856
932_SemiBin_176	389.99551415095	442.03335730629
932_SemiBin_178	6.65108538453113	13.2632442975282
932_SemiBin_216	306.477336464777	345.640290948501
932_SemiBin_237	5156.12545810017	5111.66552207492
933_SemiBin_193	1199.57870546121	1272.48346938636
933_SemiBin_252	704.613209920105	754.276437076349
934_SemiBin_124	381.562784081054	447.047142532388
935_SemiBin_113	1195.38600873862	1133.45740132698
935_SemiBin_192	1096.5759581865	1468.73818518424
935_SemiBin_210	268.735309172618	247.691472444604
935_SemiBin_236	744.195563605899	873.458725123808
935_SemiBin_68	2762.21795863124	2923.6821488993
935_SemiBin_76	566.605450165901	588.21025991282
937_SemiBin_148	2089.33322079131	2053.90147606724
937_SemiBin_159	512.942171305762	493.574136665156
938_SemiBin_99	717.510382926076	726.315796088099
939_SemiBin_272	503.528805505835	493.101930893049
939_SemiBin_87	644.840220523096	645.518953770702
940_SemiBin_253	1104.07799665864	1118.73913983818
941_SemiBin_237	1056.7368673029	988.862054824346
941_SemiBin_67	771.313626227329	660.934860705742
944_SemiBin_44	2382.61403365034	2355.40185504159
945_SemiBin_110	761.47497642616	709.584373795115
945_SemiBin_185	304.205431082037	248.631490685381
945_SemiBin_201	1433.05010534022	1192.1506241076
945_SemiBin_23	418.224252362341	409.433374966772
945_SemiBin_50	1457.47281668046	1418.79824676295
946_SemiBin_182	685.462649127537	675.815240130997
946_SemiBin_296	2541.21028919905	2480.34162760469
946_SemiBin_333	944.322184247619	944.84411841119
946_SemiBin_374	1108.69659740773	1038.28341134198
947_SemiBin_204	1466.56863305215	1431.00748545112
947_SemiBin_8	979.707573179995	1029.85506275294
947_SemiBin_9	6672.59086314549	6695.77336189717
948_SemiBin_209	1621.36813440885	1734.24738589575
949_SemiBin_129	388.127874874565	364.159817459139
950_SemiBin_52	578.465865371382	695.28443619116
951_SemiBin_21	120.572632174738	109.010122594806
951_SemiBin_94	860.430454763282	917.902888901049
953_SemiBin_322	3385.70476247412	3498.48349791556
954_SemiBin_108	385.416965401315	410.323813001554
954_SemiBin_2	393.376198806717	356.38276806845
954_SemiBin_221	562.673534271491	529.040985661857
954_SemiBin_346	420.294270249916	473.234260618849
954_SemiBin_8	579.793310845758	623.611542934524
955_SemiBin_146	599.804766961596	568.767425775658
955_SemiBin_256	893.475810355647	718.041669548497
956_SemiBin_125	923.73916348981	948.253867125146
