NODE_ID	LABEL	CLASS	COLOR	classification
MEGAHIT-MetaBAT2-S947.49	MAG.001	Spirochaetota	#b3cde3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp018385315
935_SemiBin_210	MAG.002	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RUG12519;s__
MEGAHIT-MetaBAT2-S972.76	MAG.003	Bacteroidota	#fff7bc	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__UBA4372 sp945865175
MEGAHIT-MetaBAT2-S934.40	MAG.004	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1766;s__UMGS1766 sp900554855
MEGAHIT-MetaBAT2-S964.185	MAG.005	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__Butyricicoccus_A sp945872165
MEGAHIT-MetaBAT2-S946.13	MAG.006	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis
966_SemiBin_49	MAG.007	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TWA4;s__
MEGAHIT-MetaBAT2-S947.28	MAG.008	Bacteroidota	#fff7bc	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp945827635
968_SemiBin_313	MAG.009	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__VSOB01;s__VSOB01 sp022779165
MEGAHIT-MetaBAT2-S935.158	MAG.010	Bacillota_I	#fc9272	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-826;g__RUG13091;s__
MEGAHIT-MetaBAT2-S939.26	MAG.011	NA	#B0B0B0	NA
MEGAHIT-MetaBAT2-S954.181	MAG.012	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFDB01;s__SFDB01 sp004558825
940_SemiBin_253	MAG.013	Bacteroidota	#fff7bc	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004562975
MEGAHIT-MetaBAT2-S938.190	MAG.014	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp018919065
MEGAHIT-MetaBAT2-S945.168	MAG.015	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__HUN007;s__HUN007 sp945876405
954_SemiBin_346	MAG.016	Bacteroidota	#fff7bc	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__W0P28-013;s__W0P28-013 sp004557405
966_SemiBin_91	MAG.017	Bacteroidota	#fff7bc	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp004556005
MEGAHIT-MetaBAT2-S970.122	MAG.018	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii
MEGAHIT-MetaBAT2-S982.57	MAG.019	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp029227655
MEGAHIT-MetaBAT2-S968.183	MAG.020	Elusimicrobiota	#80b1d3	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Avelusimicrobium;s__Avelusimicrobium sp934667625
935_SemiBin_236	MAG.021	Bacteroidota	#fff7bc	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Aphodosoma;s__Aphodosoma sp016292775
MEGAHIT-MetaBAT2-S973.168	MAG.022	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__
MEGAHIT-MetaBAT2-S951.45	MAG.023	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2868;s__UBA2868 sp004552595
MEGAHIT-MetaBAT2-S946.49	MAG.024	Bacteroidota	#fff7bc	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp016295245
MEGAHIT-MetaBAT2-S992.120	MAG.025	Bacillota_I	#fc9272	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__JAEDMO01;s__JAEDMO01 sp016302935
MEGAHIT-MetaBAT2-S980.201	MAG.026	Bacillota_I	#fc9272	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp945948625
946_SemiBin_296	MAG.027	Bacteroidota	#fff7bc	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp004557565
group6_bins.205	MAG.028	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005
988_SemiBin_105	MAG.029	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp004557655
986_SemiBin_166	MAG.030	Bacillota	#c7e9c0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_B
group4_bins.297	MAG.031	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp003539515
972_SemiBin_103	MAG.032	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__
MEGAHIT-MetaBAT2-S983.160	MAG.033	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017622995
MEGAHIT-MetaBAT2-S954.88	MAG.034	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus sp016303195
group7_bins.370	MAG.035	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__CAG-882 sp958446835
932_SemiBin_153	MAG.036	Bacillota_I	#fc9272	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium mitsuokai
MEGAHIT-MetaBAT2-S971.10	MAG.037	Bacillota	#c7e9c0	d__Bacteria;p__Bacillota;c__Bacilli;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis
932_SemiBin_216	MAG.038	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp022784505
970_SemiBin_87	MAG.039	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__;s__
MEGAHIT-MetaBAT2-S974.91	MAG.040	Bacillota_A	#a8ddb5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__
