x	ko_id
1	V1008	K03697
2	V1010	K03699
3	V1013	K03704
4	V102	K00334
5	V1023	K03735
6	V1028	K03743
7	V1031	K03758
8	V1037	K03772
9	V1043	K03783
10	V1046	K03797
11	V105	K00338
12	V1064	K03975
13	V1070	K04041
14	V1071	K04042
15	V108	K00343
16	V1087	K04094
17	V1100	K04749
18	V1102	K04759
19	V1114	K05346
20	V1123	K05566
21	V1131	K05776
22	V114	K00370
23	V1144	K05847
24	V1146	K05879
25	V1151	K05936
26	V1152	K05942
27	V1163	K06024
28	V1168	K06078
29	V1171	K06131
30	V1175	K06168
31	V1183	K06217
32	V1184	K06221
33	V1190	K06298
34	V1220	K06894
35	V1225	K06920
36	V1227	K06923
37	V1229	K06929
38	V1231	K06941
39	V1239	K06969
40	V1250	K07010
41	V1253	K07029
42	V1257	K07037
43	V1266	K07082
44	V1268	K07090
45	V1269	K07091
46	V1271	K07102
47	V1273	K07107
48	V1274	K07114
49	V1275	K07118
50	V1283	K07166
51	V1296	K07315
52	V1300	K07337
53	V1314	K07462
54	V132	K00428
55	V1322	K07568
56	V1324	K07576
57	V1329	K07720
58	V133	K00432
59	V1337	K07803
60	V1339	K07816
61	V1341	K07979
62	V1344	K08281
63	V1346	K08298
64	V1348	K08307
65	V1350	K08321
66	V1357	K08676
67	V1358	K08679
68	V1360	K08986
69	V1370	K09137
70	V1373	K09251
71	V1376	K09475
72	V1384	K09749
73	V1392	K09774
74	V1399	K09808
75	V1400	K09810
76	V1405	K09888
77	V1419	K10108
78	V1420	K10109
79	V1434	K10206
80	V144	K00549
81	V1442	K10536
82	V1450	K10555
83	V1452	K10559
84	V1461	K10794
85	V1465	K10907
86	V1470	K11069
87	V1473	K11085
88	V1477	K11176
89	V1481	K11329
90	V1488	K11645
91	V1496	K11755
92	V150	K00575
93	V1505	K12251
94	V1514	K12524
95	V1530	K13542
96	V1533	K13747
97	V1552	K14090
98	V1561	K14260
99	V158	K00603
100	V1598	K15921
101	V1605	K16066
102	V1614	K16211
103	V1615	K16212
104	V1628	K16850
105	V1631	K16886
106	V1633	K16898
107	V1634	K16919
108	V1638	K17076
109	V1640	K17202
110	V1643	K17236
111	V1668	K18197
112	V1669	K18218
113	V1676	K18353
114	V1682	K18675
115	V1705	K19420
116	V1706	K19510
117	V1707	K19545
118	V1709	K19693
119	V1715	K19955
120	V1726	K20453
121	V1734	K20903
122	V1735	K20904
123	V1743	K21416
124	V1749	K21575
125	V1756	K22214
126	V1758	K22230
127	V1759	K22278
128	V1792	K23997
129	V1797	K24300
130	V1800	K24847
131	V181	K00677
132	V1810	K25137
133	V1811	K25144
134	V1812	K25152
135	V1815	K25158
136	V1820	K25641
137	V1821	K25671
138	V200	K00765
139	V201	K00766
140	V216	K00809
141	V243	K00876
142	V249	K00912
143	V256	K00930
144	V262	K00942
145	V263	K00945
146	V271	K00963
147	V273	K00971
148	V276	K00974
149	V285	K01000
150	V286	K01005
151	V29	K00060
152	V293	K01039
153	V297	K01060
154	V304	K01126
155	V307	K01142
156	V308	K01153
157	V313	K01179
158	V318	K01190
159	V32	K00068
160	V333	K01224
161	V348	K01274
162	V349	K01277
163	V380	K01499
164	V382	K01515
165	V383	K01519
166	V384	K01524
167	V39	K00099
168	V390	K01577
169	V395	K01591
170	V40	K00104
171	V411	K01626
172	V42	K00112
173	V421	K01652
174	V425	K01661
175	V436	K01685
176	V437	K01686
177	V441	K01695
178	V452	K01719
179	V456	K01735
180	V459	K01738
181	V462	K01745
182	V475	K01783
183	V482	K01798
184	V487	K01807
185	V502	K01838
186	V503	K01839
187	V510	K01854
188	V528	K01886
189	V537	K01912
190	V54	K00169
191	V545	K01925
192	V546	K01926
193	V548	K01929
194	V55	K00170
195	V562	K01961
196	V579	K02010
197	V585	K02025
198	V589	K02029
199	V602	K02042
200	V609	K02056
201	V617	K02082
202	V629	K02119
203	V650	K02335
204	V651	K02337
205	V677	K02426
206	V679	K02431
207	V68	K00203
208	V682	K02435
209	V694	K02483
210	V7	K00013
211	V704	K02528
212	V705	K02529
213	V71	K00209
214	V712	K02563
215	V720	K02621
216	V726	K02663
217	V736	K02760
218	V757	K02823
219	V764	K02838
220	V767	K02860
221	V78	K00244
222	V793	K02908
223	V798	K02916
224	V805	K02936
225	V825	K02984
226	V839	K03048
227	V844	K03074
228	V86	K00278
229	V870	K03218
230	V872	K03269
231	V894	K03336
232	V895	K03338
233	V897	K03366
234	V898	K03367
235	V905	K03394
236	V906	K03402
237	V912	K03410
238	V920	K03427
239	V927	K03465
240	V929	K03475
241	V930	K03476
242	V938	K03517
243	V943	K03524
244	V945	K03526
245	V950	K03536
246	V958	K03551
247	V96	K00319
248	V963	K03564
249	V97	K00320
250	V971	K03596
251	V98	K00324
