"ko_id"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"FDR"	"SCORE_neg_log10_p"	"Significance"
"K00603"	1.94508728024698	8.23166744610294	6.28658016585596	0.000907238139743521	0.227716773075624	3.04227870058964	"p < 0.05 & |FC| > 1"
"K03074"	2.91994744953643	7.72079743751918	4.80084998798275	0.00942960495098544	0.252536831478572	2.02550650145153	"p < 0.05 & |FC| > 1"
"K03465"	3.69466136820986	8.34049036981558	4.64582900160572	0.0139443251620758	0.252536831478572	1.8556024986427	"p < 0.05 & |FC| > 1"
"K04749"	4.25992431859548	8.67340658960589	4.41348227101041	0.0200451561113356	0.252536831478572	1.69799055712223	"p < 0.05 & |FC| > 1"
"K01745"	8.01890671988331	12.4127429527187	4.39383623283539	0.0226894933068101	0.252536831478572	1.64417520250702	"p < 0.05 & |FC| > 1"
"K18675"	9.13313426841666	13.4774831883719	4.34434891995529	0.0167280363675485	0.252536831478572	1.77655503601245	"p < 0.05 & |FC| > 1"
"K11645"	3.31416493064668	7.64076079492887	4.3265958642822	0.0249925503085384	0.252536831478572	1.60218942500949	"p < 0.05 & |FC| > 1"
"K07816"	3.33383236091067	7.6146773028536	4.28084494194293	0.0208409011622172	0.252536831478572	1.6810835060387	"p < 0.05 & |FC| > 1"
"K01735"	7.28205192262712	11.4321609223601	4.15010899973297	0.0291157332990805	0.252536831478572	1.53587226742325	"p < 0.05 & |FC| > 1"
"K06078"	6.79407068910732	10.8751928721222	4.08112218301484	0.0473110347888742	0.252536831478572	1.32503755294101	"p < 0.05 & |FC| > 1"
"K02056"	5.57068751625953	9.61101457106272	4.04032705480319	0.0459077625174051	0.252536831478572	1.33811387364705	"p < 0.05 & |FC| > 1"
"K03517"	8.42201500835263	12.4600412745839	4.03802626623131	0.0272296812936078	0.252536831478572	1.56495744177562	"p < 0.05 & |FC| > 1"
"K01126"	8.03236986309757	12.0270461670334	3.99467630393581	0.0226270425372523	0.252536831478572	1.64537220670313	"p < 0.05 & |FC| > 1"
"K02663"	0.443124365391468	4.43399167533733	3.99086730994587	0.0049418094146192	0.252536831478572	2.3061140075732	"p < 0.05 & |FC| > 1"
"K16898"	2.58727455658867	6.57673008742983	3.98945553084116	0.0339186954931108	0.252536831478572	1.4695608589813	"p < 0.05 & |FC| > 1"
"K00343"	8.1109901152956	4.18120465371761	-3.929785461578	0.0394843671691514	0.252536831478572	1.40357481819664	"p < 0.05 & |FC| > 1"
"K01499"	8.17883866566625	4.27485204792016	-3.90398661774609	0.0523183873979511	0.252536831478572	1.28134565067317	"p < 0.1 & |FC| > 3"
"K10536"	6.91769202695309	10.8036145644124	3.88592253745929	0.0521504905367422	0.252536831478572	1.28274160216749	"p < 0.1 & |FC| > 3"
"K13747"	6.17149574453978	10.0230773958502	3.85158165131041	0.0412946523742615	0.252536831478572	1.3841061855039	"p < 0.05 & |FC| > 1"
"K16886"	9.69522031161636	13.4144491626904	3.71922885107402	0.0375693775560323	0.252536831478572	1.42516600020464	"p < 0.05 & |FC| > 1"
"K10109"	0.993880017373577	4.69268642976849	3.69880641239491	0.0174249047145271	0.252536831478572	1.75882958809757	"p < 0.05 & |FC| > 1"
"K03410"	5.16717910719791	8.86375897945703	3.69657987225913	0.0484174503433559	0.252536831478572	1.31499808418313	"p < 0.05 & |FC| > 1"
"K02426"	1.41611457801872	5.08729719315915	3.67118261514043	0.0218644233419231	0.252536831478572	1.66026197236547	"p < 0.05 & |FC| > 1"
"K04041"	8.93702741363976	12.5363444502057	3.59931703656594	0.0477716863682256	0.252536831478572	1.32082942759904	"p < 0.05 & |FC| > 1"
"K23997"	9.34519530971101	12.9129801388417	3.5677848291307	0.0478355623087384	0.252536831478572	1.32024911652425	"p < 0.05 & |FC| > 1"
"K07315"	9.25672579057054	12.6960207055259	3.43929491495537	0.0502225927966315	0.252536831478572	1.29910087011368	"p < 0.1 & |FC| > 3"
"K22278"	5.48284798040101	2.09088273177463	-3.39196524862638	0.0476935449114696	0.252536831478572	1.32154039662098	"p < 0.05 & |FC| > 1"
"K02908"	4.99162041592285	1.61966289514567	-3.37195752077719	0.0397962235643087	0.252536831478572	1.40015813805186	"p < 0.05 & |FC| > 1"
"K03772"	1.54562171599846	4.86182685441088	3.31620513841242	0.0460783542734959	0.252536831478572	1.3365030404942	"p < 0.05 & |FC| > 1"
"K05847"	5.16407990082616	1.94434647470479	-3.21973342612137	0.0455960597537918	0.252536831478572	1.34107268586895	"p < 0.05 & |FC| > 1"
"K06024"	5.62183424919729	2.45567046698032	-3.16616378221697	0.0509079607731937	0.252536831478572	1.29321429920479	"p < 0.1 & |FC| > 3"
"K01153"	1.83974460561727	4.9878737025227	3.14812909690542	0.0399260710303543	0.252536831478572	1.39874342493691	"p < 0.05 & |FC| > 1"
"K00209"	1.44451066052525	4.58985295424787	3.14534229372261	0.0452493695158851	0.252536831478572	1.34438746767822	"p < 0.05 & |FC| > 1"
"K05566"	0.451201997393868	3.49567562094407	3.0444736235502	0.0209291033911228	0.252536831478572	1.67924937656473	"p < 0.05 & |FC| > 1"
"K06131"	0.475735110204374	3.50695908493932	3.03122397473494	0.0220813621537394	0.252536831478572	1.65597413938461	"p < 0.05 & |FC| > 1"
"K18353"	1.40369197617846	4.43249981903095	3.02880784285249	0.0454574308550907	0.252536831478572	1.34239511319941	"p < 0.05 & |FC| > 1"
