"ko_id"	"SampleID"	"summedLFQ"	"corral"	"Tto"	"sex"
"K00003"	"X932"	140917.180532997	"C6"	"stress"	"F"
"K00003"	"X933"	9183.43271328276	"C6"	"stress"	"M"
"K00003"	"X934"	76547.8404751069	"C6"	"stress"	"F"
"K00003"	"X935"	110606.425478617	"C6"	"stress"	"M"
"K00003"	"X937"	64587.6585153169	"C6"	"stress"	"M"
"K00003"	"X938"	191663.59125322	"C6"	"stress"	"F"
"K00003"	"X939"	69800.39534265	"C6"	"stress"	"M"
"K00003"	"X940"	23890.7837903272	"C5"	"control"	"M"
"K00003"	"X941"	92194.1911246843	"C5"	"control"	"F"
"K00003"	"X942"	70946.8845405427	"C5"	"control"	"F"
"K00003"	"X943"	169268.856139648	"C5"	"control"	"F"
"K00003"	"X944"	57611.8588113706	"C5"	"control"	"M"
"K00003"	"X945"	219911.600212611	"C5"	"control"	"M"
"K00003"	"X946"	77780.3440677461	"C5"	"control"	"F"
"K00003"	"X947"	224838.469155438	"C5"	"control"	"M"
"K00003"	"X948"	30015.31424937	"C4"	"stress"	"M"
"K00003"	"X949"	127801.095991665	"C4"	"stress"	"F"
"K00003"	"X950"	0	"C4"	"stress"	"M"
"K00003"	"X951"	42532.609131252	"C4"	"stress"	"F"
"K00003"	"X952"	43910.9441896413	"C4"	"stress"	"M"
"K00003"	"X953"	81117.3584504933	"C4"	"stress"	"M"
"K00003"	"X954"	21313.3376899727	"C4"	"stress"	"F"
"K00003"	"X955"	112230.89921815	"C3"	"control"	"M"
"K00003"	"X956"	251689.415434266	"C3"	"control"	"F"
"K00003"	"X957"	30083.8252501961	"C3"	"control"	"F"
"K00003"	"X958"	73060.3331143127	"C3"	"control"	"F"
"K00003"	"X959"	19788.3233053068	"C3"	"control"	"M"
"K00003"	"X960"	28920.7169039333	"C3"	"control"	"M"
"K00003"	"X961"	172376.615672775	"C3"	"control"	"M"
"K00003"	"X962"	0	"C3"	"control"	"F"
"K00003"	"X963"	101733.173866278	"C10"	"stress"	"M"
"K00003"	"X964"	181564.543163458	"C10"	"stress"	"M"
"K00003"	"X965"	59293.9585558869	"C10"	"stress"	"F"
"K00003"	"X966"	20189.2682654099	"C10"	"stress"	"F"
"K00003"	"X967"	0	"C10"	"stress"	"F"
"K00003"	"X968"	15973.0711952412	"C10"	"stress"	"F"
