Protein	gene	Indistinguishable.Proteins	Description	ko_id
1	P15	932_SemiBin_102_contig_2248366_21		rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)	NA
2	P141	932_SemiBin_124_contig_6655460_3		rank: C;succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1] (db=kegg)	K00239
3	P152	932_SemiBin_124_contig_6655471_14		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
4	P186	932_SemiBin_124_contig_6655525_1		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
5	P225	932_SemiBin_153_contig_6137050_12		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
6	P263	932_SemiBin_153_contig_6137093_1		rank: C;cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205] (db=kegg)	K02759
7	P285	932_SemiBin_153_contig_6137120_10		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
8	P380	932_SemiBin_172_contig_661106_75		rank: C;3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (db=kegg)	K00074
9	P392	932_SemiBin_172_contig_661109_209		rank: C;lactaldehyde reductase [EC:1.1.1.77] (db=kegg)	K00048
10	P413	932_SemiBin_172_contig_661113_245		rank: E	NA
11	P415	932_SemiBin_172_contig_661113_29	956_SemiBin_187_contig_5944759_24, MEGAHIT-MetaBAT2-S957.66_contig_2890081_11, MEGAHIT-MetaBAT2-S959.110_contig_6841434_5, MEGAHIT-MetaBAT2-S979.51_contig_4518104_18, MEGAHIT-MetaBAT2-S979.94_contig_4634404_3	rank: C;small subunit ribosomal protein S11 (db=kegg)	K02948
12	P508	932_SemiBin_216_contig_6775423_1	935_SemiBin_76_contig_5163407_12, MEGAHIT-MetaBAT2-S955.109_contig_2164671_12, MEGAHIT-MetaBAT2-S970.51_contig_6451668_4, MEGAHIT-MetaBAT2-S983.33_contig_5576719_14	rank: C;cell division protein FtsZ (db=kegg)	K03531
13	P529	932_SemiBin_237_contig_3195432_8		rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)	K01940
14	P640	932_SemiBin_237_contig_3195445_22	MEGAHIT-MetaBAT2-S962.80_contig_4191415_2	rank: D;Amino acid kinase family [PF00696.33];ACT domain [PF22468.1] (db=pfam)	NA
15	P668	932_SemiBin_237_contig_3195450_17	MEGAHIT-MetaBAT2-S962.80_contig_4191074_3	rank: C;vancomycin resistance protein VanJ (db=kegg)	K18353
16	P706	932_SemiBin_237_contig_3195453_25	MEGAHIT-MetaBAT2-S962.80_contig_4191409_4	rank: C;protein deglycase [EC:3.5.1.124] (db=kegg)	K03152
17	P775	932_SemiBin_237_contig_3195459_31	MEGAHIT-MetaBAT2-S962.80_contig_4191180_1	rank: D;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [PF01128.24];Nucleotidyl transferase [PF00483.28] (db=pfam)	NA
18	P793	932_SemiBin_237_contig_3195460_34	MEGAHIT-MetaBAT2-S962.80_contig_4191177_6	rank: C;large subunit ribosomal protein L18 (db=kegg)	K02881
19	P803	932_SemiBin_237_contig_3195460_50		rank: C;large subunit ribosomal protein L3 (db=kegg)	K02906
20	P972	932_SemiBin_237_contig_3195497_3		rank: E	NA
21	P990	932_SemiBin_237_contig_3195500_38		rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)	K00925
22	P1037	933_SemiBin_193_contig_859805_2		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)	K01915
23	P1089	933_SemiBin_193_contig_859878_20		rank: C;large subunit ribosomal protein L5 (db=kegg)	K02931
24	P1091	933_SemiBin_193_contig_859878_26		rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
25	P1120	933_SemiBin_252_contig_4987272_38		rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
26	P1170	934_SemiBin_124_contig_2042514_10		rank: D;MFS/sugar transport protein [PF13347.11] (db=pfam)	NA
27	P1197	935_SemiBin_113_contig_5971576_36		rank: D;Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)	NA
28	P1239	935_SemiBin_113_contig_5971605_13	968_SemiBin_131_contig_4413952_10, 970_SemiBin_53_contig_3961192_4	rank: E	NA
29	P1338	935_SemiBin_192_contig_3011943_10		rank: D;Bacterial extracellular solute-binding proteins, family 3 [PF00497.25];Ligated ion channel L-glutamate- and glycine-binding site [PF10613.14] (db=pfam)	NA
30	P1342	935_SemiBin_192_contig_3011943_118		rank: C;preprotein translocase subunit YajC (db=kegg)	K03210
31	P1358	935_SemiBin_192_contig_3011944_36		rank: D;Binding-protein-dependent transport system inner membrane component [PF00528.27] (db=pfam)	NA
32	P1359	935_SemiBin_192_contig_3011944_37		rank: C;cellobiose transport system substrate-binding protein (db=kegg)	K10240
33	P1361	935_SemiBin_192_contig_3011944_6		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
34	P1364	935_SemiBin_192_contig_3011946_4		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)	NA
35	P1365	935_SemiBin_192_contig_3011946_53		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)	K00975
36	P1368	935_SemiBin_192_contig_3011948_10		rank: C;putative tryptophan/tyrosine transport system substrate-binding protein (db=kegg)	K01989
37	P1381	935_SemiBin_192_contig_3011955_8		rank: C;LemA protein (db=kegg)	K03744
38	P1383	935_SemiBin_192_contig_3011956_1		rank: C;rubrerythrin (db=kegg)	K19824
39	P1392	935_SemiBin_192_contig_3011960_73		rank: E	NA
40	P1424	935_SemiBin_192_contig_3011971_179		rank: D;HMGL-like [PF00682.24];Conserved carboxylase domain [PF02436.23];Biotin-requiring enzyme [PF00364.27] (db=pfam)	NA
41	P1434	935_SemiBin_192_contig_3011971_232		rank: D;Cellulase (glycosyl hydrolase family 5) [PF00150.23] (db=pfam)	NA
42	P1438	935_SemiBin_192_contig_3011971_254		rank: E	NA
43	P1440	935_SemiBin_192_contig_3011971_26	970_SemiBin_111_contig_3276016_23, MEGAHIT-MetaBAT2-S964.113_contig_1412599_3	rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)	K00053
44	P1463	935_SemiBin_192_contig_3011980_58		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)	NA
45	P1473	935_SemiBin_192_contig_3011993_18		rank: C;alanine or glycine:cation symporter, AGCS family (db=kegg)	K03310
46	P1475	935_SemiBin_192_contig_3011993_53		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
47	P1480	935_SemiBin_192_contig_3011995_21		rank: C;MoxR-like ATPase [EC:3.6.3.-] (db=kegg)	K03924
48	P1486	935_SemiBin_192_contig_3011996_46		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)	K02935
49	P1492	935_SemiBin_192_contig_3011999_31		rank: E	NA
50	P1495	935_SemiBin_192_contig_3012002_3		rank: C;chromosome partitioning protein (db=kegg)	K03496
51	P1506	935_SemiBin_192_contig_3012009_58		rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)	K01999
52	P1509	935_SemiBin_192_contig_3012009_63		rank: C;small subunit ribosomal protein S11 (db=kegg)	K02948
53	P1519	935_SemiBin_192_contig_3012009_85		rank: C;large subunit ribosomal protein L3 (db=kegg)	K02906
54	P1522	935_SemiBin_192_contig_3012009_88		rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
55	P1578	935_SemiBin_236_contig_538418_16		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
56	P1584	935_SemiBin_236_contig_538420_25		rank: E	NA
57	P1632	935_SemiBin_236_contig_538454_69		rank: D;Barrel-sandwich domain of CusB or HlyD membrane-fusion [PF16576.10];HlyD family secretion protein [PF13437.11] (db=pfam)	NA
58	P1645	935_SemiBin_236_contig_538459_18		rank: C;threonyl-tRNA synthetase [EC:6.1.1.3] (db=kegg)	K01868
59	P1647	935_SemiBin_236_contig_538459_7		rank: C;methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3] (db=kegg)	K01604
60	P1684	935_SemiBin_68_contig_5672585_18		rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)	K01784
61	P1775	935_SemiBin_68_contig_5672731_1		rank: D;Thiolase, C-terminal domain [PF02803.23];Thiolase, N-terminal domain [PF00108.28] (db=pfam)	NA
62	P1779	935_SemiBin_68_contig_5672731_5		rank: C;electron transfer flavoprotein beta subunit (db=kegg)	K03521
63	P1787	935_SemiBin_68_contig_5672738_7		rank: E	NA
64	P1789	935_SemiBin_68_contig_5672740_1		rank: D;Iron only hydrogenase large subunit, C-terminal domain [PF02906.19];4Fe-4S dicluster domain [PF14697.11];4Fe-4S dicluster domain [PF12838.12];4Fe-4S dicluster domain [PF13237.11];4Fe-4S dicluster domain [PF13247.11];4Fe-4S dicluster domain [PF13187.11];4Fe-4S binding domain [PF12837.12];4Fe-4S dicluster domain [PF13183.11];4Fe-4S double cluster binding domain [PF13484.11];4Fe-4S binding domain [PF00037.32];4Fe-4S dicluster domain [PF13534.11] (db=pfam)	NA
65	P1801	935_SemiBin_68_contig_5672752_2	968_SemiBin_131_contig_4413959_7, 970_SemiBin_53_contig_3961144_9	rank: C;large subunit ribosomal protein L3 (db=kegg)	K02906
66	P1805	935_SemiBin_68_contig_5672754_3	967_SemiBin_89_contig_4060666_11	rank: C;small subunit ribosomal protein S15 (db=kegg)	K02956
67	P1855	935_SemiBin_68_contig_5672805_3	967_SemiBin_89_contig_4060596_4	rank: C;large subunit ribosomal protein L24 (db=kegg)	K02895
68	P1856	935_SemiBin_68_contig_5672805_4		rank: C;large subunit ribosomal protein L14 (db=kegg)	K02874
69	P1890	935_SemiBin_76_contig_5163308_1		rank: C;2-enoate reductase [EC:1.3.1.31] (db=kegg)	K10797
70	P1927	937_SemiBin_148_contig_282743_8	974_SemiBin_118_contig_849910_1	rank: C;dihydroxy-acid dehydratase [EC:4.2.1.9] (db=kegg)	K01687
71	P2069	937_SemiBin_148_contig_282880_3		rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)	K01784
72	P2178	938_SemiBin_99_contig_3776150_24		rank: C;Bacteriophage tail sheath protein (db=kegg)	K06907
