Protein	Indistinguishable.Proteins	Description
1	932_SemiBin_102_contig_2248254_1		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpC (db=kegg)
2	932_SemiBin_102_contig_2248257_4		rank: D;Beta-eliminating lyase [PF01212.26] (db=pfam)
3	932_SemiBin_102_contig_2248257_5		rank: C;neurotransmitter:Na+ symporter, NSS family (db=kegg)
4	932_SemiBin_102_contig_2248262_2	group9_bins.7_contig_5385151_10	rank: C;two-component system, response regulator, stage 0 sporulation protein A (db=kegg)
5	932_SemiBin_102_contig_2248267_2		rank: C;uncharacterized protein (db=kegg)
6	932_SemiBin_102_contig_2248276_5		rank: D;Pyridine nucleotide-disulphide oxidoreductase [PF07992.19];Pyridine nucleotide-disulphide oxidoreductase [PF13738.11];FAD dependent oxidoreductase [PF12831.12];HI0933-like protein Rossmann domain [PF03486.19];FAD binding domain [PF00890.29];FAD binding domain [PF01494.24];Flavin-binding monooxygenase-like [PF00743.24];NAD(P)-binding Rossmann-like domain [PF13450.11];Lycopene cyclase protein [PF05834.17];Thi4 family [PF01946.22];FAD dependent oxidoreductase [PF01266.29] (db=pfam)
7	932_SemiBin_102_contig_2248277_7		rank: C;rubrerythrin (db=kegg)
8	932_SemiBin_102_contig_2248293_11		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
9	932_SemiBin_102_contig_2248296_4		rank: C;UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8] (db=kegg)
10	932_SemiBin_102_contig_2248299_3		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)
11	932_SemiBin_102_contig_2248321_3		rank: C;large subunit ribosomal protein L10 (db=kegg)
12	932_SemiBin_102_contig_2248326_2		rank: C;phosphocarrier protein HPr (db=kegg)
13	932_SemiBin_102_contig_2248330_4	956_SemiBin_215_contig_4668654_20, MEGAHIT-MetaBAT2-S965.170_contig_623723_5, group9_bins.7_contig_5385200_9	rank: D;ATPase family associated with various cellular activities (AAA) [PF00004.34];FtsH Extracellular [PF06480.20];Holliday junction DNA helicase RuvB P-loop domain [PF05496.17];AAA domain (dynein-related subfamily) [PF07728.19];TIP49 P-loop domain [PF06068.18];AAA+ lid domain [PF17862.6];Magnesium chelatase, subunit ChlI [PF01078.26];AAA domain (Cdc48 subfamily) [PF07724.19];Peptidase family M41 [PF01434.23];Bacterial DnaA ATPAse domain [PF00308.23] (db=pfam)
14	932_SemiBin_102_contig_2248345_4		rank: D;Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)
15	932_SemiBin_102_contig_2248366_21		rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)
16	932_SemiBin_102_contig_2248368_11		rank: D;C4-dicarboxylate anaerobic carrier [PF03606.20] (db=pfam)
17	932_SemiBin_102_contig_2248387_2		rank: C;small subunit ribosomal protein S2 (db=kegg)
18	932_SemiBin_102_contig_2248391_8		rank: C;V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1] (db=kegg)
19	932_SemiBin_102_contig_2248404_1		rank: C;basic membrane protein A and related proteins (db=kegg)
20	932_SemiBin_102_contig_2248407_5		rank: D;2-hydroxyglutaryl-CoA dehydratase, D-component [PF06050.18] (db=pfam)
21	932_SemiBin_102_contig_2248419_17	MEGAHIT-MetaBAT2-S933.151_contig_5473501_4	rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)
22	932_SemiBin_102_contig_2248441_6		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)
23	932_SemiBin_102_contig_2248460_2		rank: C;3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] (db=kegg)
24	932_SemiBin_102_contig_2248465_17		rank: C;small subunit ribosomal protein S1 (db=kegg)
25	932_SemiBin_102_contig_2248470_1		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)
26	932_SemiBin_102_contig_2248475_3		rank: D;Molybdopterin cofactor-binding domain [PF02738.23];Molybdopterin cofactor-binding domain [PF20256.3];Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain [PF01315.27];[2Fe-2S] binding domain [PF01799.25] (db=pfam)
27	932_SemiBin_102_contig_2248475_8		rank: C;small subunit ribosomal protein S4 (db=kegg)
28	932_SemiBin_102_contig_2248476_14	935_SemiBin_76_contig_5163354_11, MEGAHIT-MetaBAT2-S945.70_contig_241090_13, MEGAHIT-MetaBAT2-S970.51_contig_6451685_1	rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)
29	932_SemiBin_102_contig_2248480_3	MEGAHIT-MetaBAT2-S960.208_contig_414036_6	rank: C;phosphonate transport system substrate-binding protein (db=kegg)
30	932_SemiBin_102_contig_2248481_7	960_SemiBin_641_contig_2906514_5, 978_SemiBin_64_contig_4662608_5, MEGAHIT-MetaBAT2-S935.32_contig_4940357_2, MEGAHIT-MetaBAT2-S973.44_contig_1218919_10, MEGAHIT-MetaBAT2-S973.86_contig_1631999_1, group6_bins.205_contig_1135934_22, group9_bins.360_contig_3961326_7, group9_bins.67_contig_2480483_4	rank: C;adenylosuccinate synthase [EC:6.3.4.4] (db=kegg)
31	932_SemiBin_106_contig_906129_21		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)
32	932_SemiBin_106_contig_906129_37		rank: C;putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)
33	932_SemiBin_106_contig_906129_38		rank: C;putative multiple sugar transport system substrate-binding protein (db=kegg)
34	932_SemiBin_106_contig_906129_42		rank: D;L-fucose isomerase, C-terminal domain [PF02952.22];L-arabinose isomerase [PF02610.20] (db=pfam)
35	932_SemiBin_106_contig_906130_110		rank: C;AMP-polyphosphate phosphotransferase [EC:2.7.4.33] (db=kegg)
36	932_SemiBin_106_contig_906130_114		rank: D;Domain of unknown function (DUF6487) [PF20097.4] (db=pfam)
