Protein	gene	Indistinguishable.Proteins	Description	ko_id
1	P2	932_SemiBin_102_contig_2248257_4		rank: D;Beta-eliminating lyase [PF01212.26] (db=pfam)	NA
2	P3	932_SemiBin_102_contig_2248257_5		rank: C;neurotransmitter:Na+ symporter, NSS family (db=kegg)	K03308
3	P4	932_SemiBin_102_contig_2248262_2	group9_bins.7_contig_5385151_10	rank: C;two-component system, response regulator, stage 0 sporulation protein A (db=kegg)	K07699
4	P7	932_SemiBin_102_contig_2248277_7		rank: C;rubrerythrin (db=kegg)	K19824
5	P8	932_SemiBin_102_contig_2248293_11		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
6	P9	932_SemiBin_102_contig_2248296_4		rank: C;UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8] (db=kegg)	K01924
7	P12	932_SemiBin_102_contig_2248326_2		rank: C;phosphocarrier protein HPr (db=kegg)	K02784
8	P13	932_SemiBin_102_contig_2248330_4	956_SemiBin_215_contig_4668654_20, MEGAHIT-MetaBAT2-S965.170_contig_623723_5, group9_bins.7_contig_5385200_9	rank: D;ATPase family associated with various cellular activities (AAA) [PF00004.34];FtsH Extracellular [PF06480.20];Holliday junction DNA helicase RuvB P-loop domain [PF05496.17];AAA domain (dynein-related subfamily) [PF07728.19];TIP49 P-loop domain [PF06068.18];AAA+ lid domain [PF17862.6];Magnesium chelatase, subunit ChlI [PF01078.26];AAA domain (Cdc48 subfamily) [PF07724.19];Peptidase family M41 [PF01434.23];Bacterial DnaA ATPAse domain [PF00308.23] (db=pfam)	NA
9	P15	932_SemiBin_102_contig_2248366_21		rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)	NA
10	P17	932_SemiBin_102_contig_2248387_2		rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
11	P19	932_SemiBin_102_contig_2248404_1		rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
