gene	ko_id
MEGAHIT-MetaBAT2-S972.52_contig_1893261_2	K01868
MEGAHIT-MetaBAT2-S972.52_contig_1893262_2	K01885
MEGAHIT-MetaBAT2-S972.52_contig_1893262_4	K06333
MEGAHIT-MetaBAT2-S972.52_contig_1893262_5	K06334
MEGAHIT-MetaBAT2-S972.52_contig_1893263_2	K01934
MEGAHIT-MetaBAT2-S972.52_contig_1893263_3	K08316
MEGAHIT-MetaBAT2-S972.52_contig_1893263_4	K00954
MEGAHIT-MetaBAT2-S972.52_contig_1893263_7	K27343
MEGAHIT-MetaBAT2-S972.52_contig_1893263_8	K00925
MEGAHIT-MetaBAT2-S972.52_contig_1893263_9	K07040
MEGAHIT-MetaBAT2-S972.52_contig_1893263_10	K02911
MEGAHIT-MetaBAT2-S972.52_contig_1893263_11	K03110
MEGAHIT-MetaBAT2-S972.52_contig_1893263_12	K03529
MEGAHIT-MetaBAT2-S972.52_contig_1893263_13	K03685
MEGAHIT-MetaBAT2-S972.52_contig_1893263_14	K02078
MEGAHIT-MetaBAT2-S972.52_contig_1893263_15	K03621
MEGAHIT-MetaBAT2-S972.52_contig_1893263_16	K00600
MEGAHIT-MetaBAT2-S972.52_contig_1893263_17	K22278
MEGAHIT-MetaBAT2-S972.52_contig_1893263_18	K06295
MEGAHIT-MetaBAT2-S972.52_contig_1893263_21	K02970
MEGAHIT-MetaBAT2-S972.52_contig_1893263_22	K01886
MEGAHIT-MetaBAT2-S972.52_contig_1893263_24	K01478
MEGAHIT-MetaBAT2-S972.52_contig_1893263_28	K01889
MEGAHIT-MetaBAT2-S972.52_contig_1893263_29	K01890
MEGAHIT-MetaBAT2-S972.52_contig_1893264_2	K25026
MEGAHIT-MetaBAT2-S972.52_contig_1893264_5	K08602
MEGAHIT-MetaBAT2-S972.52_contig_1893264_7	K04485
MEGAHIT-MetaBAT2-S972.52_contig_1893264_10	K01338
MEGAHIT-MetaBAT2-S972.52_contig_1893264_13	K19294
MEGAHIT-MetaBAT2-S972.52_contig_1893264_15	K25034
MEGAHIT-MetaBAT2-S972.52_contig_1893264_16	K02015
MEGAHIT-MetaBAT2-S972.52_contig_1893264_17	K02013
MEGAHIT-MetaBAT2-S972.52_contig_1893264_18	K00768
