user_genome	x	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references	msa_percent	translation_table	red_value	warnings
932_SemiBin_176	V6	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RUG708;s__RUG708 sp028724585	GCA_028724585.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RUG708;s__RUG708 sp028724585	99,47	0,882	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
959_SemiBin_129	V60	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_022779485.1, s__Ruminococcus_E sp022779485, 95.0, 89.09, 0.589; GCA_029225165.1, s__Ruminococcus_E sp029225165, 95.0, 88.99, 0.575	94,86	11	0,99004	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
962_SemiBin_32	V68	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA11490;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA11490;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83,22	11	0,97125	N/A
973_SemiBin_207	V95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-877;s__CAG-877 sp934157235	GCA_934157235.1	95	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-877;s__CAG-877 sp934157235	98,47	0,836	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900768815.1, s__CAG-877 sp900768815, 95.0, 86.72, 0.45; GCA_934168245.1, s__CAG-877 sp934168245, 95.0, 86.68, 0.454; GCA_000433455.1, s__CAG-877 sp000433455, 95.0, 86.77, 0.473	N/A	N/A	N/A	N/A
983_SemiBin_128	V109	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAJOJO01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAJOJO01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017940575.1, s__CAJOJO01 sp017940575, 95.0, 86.33, 0.177	52,14	11	0,95747	N/A
986_SemiBin_166	V121	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_B	GCA_004556255.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii_B	98,16	0,933	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_027681045.1, s__Lactobacillus sp027681045, 95.0, 94.39, 0.817; GCF_001433875.1, s__Lactobacillus delbrueckii, 95.0, 94.48, 0.806; GCF_944327175.1, s__Lactobacillus sp944327175, 95.0, 94.4, 0.83; GCF_016587775.1, s__Lactobacillus nasalidis, 95.0, 88.6, 0.486	N/A	N/A	N/A	N/A
991_SemiBin_80	V130	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp945980375	GCF_945980375.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp945980375	97,64	0,909	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900766895.1, s__Eubacterium_R sp900766895, 95.0, 93.27, 0.761	N/A	N/A	N/A	N/A
992_SemiBin_141	V131	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp004556705	GCA_004556705.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp004556705	98,44	0,924	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934436505.1, s__Fimenecus sp934436505, 95.0, 95.12, 0.905; GCA_902491475.1, s__Fimenecus sp902491475, 95.0, 85.95, 0.579	N/A	N/A	N/A	N/A
group10_bins.111	V392	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Heritagella;s__Heritagella sp022767925	GCA_022767925.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Heritagella;s__Heritagella sp022767925	99,1	0,916	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
group3_bins.206	V411	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__RGIG1693;s__RGIG1693 sp016293975	GCA_016293975.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__RGIG1693;s__RGIG1693 sp016293975	99,62	0,957	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
