gene	ko_id
MEGAHIT-MetaBAT2-S938.43_contig_1391495_2	K01953
MEGAHIT-MetaBAT2-S938.43_contig_1391496_2	K09760
MEGAHIT-MetaBAT2-S938.43_contig_1391496_4	K03091
MEGAHIT-MetaBAT2-S938.43_contig_1391496_7	K04083
MEGAHIT-MetaBAT2-S938.43_contig_1391497_2	K01873
MEGAHIT-MetaBAT2-S938.43_contig_1391497_9	K01704
MEGAHIT-MetaBAT2-S938.43_contig_1391497_10	K01703
MEGAHIT-MetaBAT2-S938.43_contig_1391497_12	K06131
MEGAHIT-MetaBAT2-S938.43_contig_1391498_3	K00962
MEGAHIT-MetaBAT2-S938.43_contig_1391498_4	K02956
MEGAHIT-MetaBAT2-S938.43_contig_1391499_2	K00928
MEGAHIT-MetaBAT2-S938.43_contig_1391499_3	K00003
MEGAHIT-MetaBAT2-S938.43_contig_1391499_6	K02371
MEGAHIT-MetaBAT2-S938.43_contig_1391499_7	K00645
MEGAHIT-MetaBAT2-S938.43_contig_1391499_8	K00059
MEGAHIT-MetaBAT2-S938.43_contig_1391499_9	K09458
MEGAHIT-MetaBAT2-S938.43_contig_1391499_10	K02160
MEGAHIT-MetaBAT2-S938.43_contig_1391499_11	K02372
MEGAHIT-MetaBAT2-S938.43_contig_1391499_12	K01961
MEGAHIT-MetaBAT2-S938.43_contig_1391499_13	K01963
MEGAHIT-MetaBAT2-S938.43_contig_1391499_14	K01962
MEGAHIT-MetaBAT2-S938.43_contig_1391500_2	K12410
MEGAHIT-MetaBAT2-S938.43_contig_1391500_3	K00016
MEGAHIT-MetaBAT2-S938.43_contig_1391500_6	K01950
MEGAHIT-MetaBAT2-S938.43_contig_1391500_8	K03499
MEGAHIT-MetaBAT2-S938.43_contig_1391500_9	K03498
MEGAHIT-MetaBAT2-S938.43_contig_1391500_10	K06133
MEGAHIT-MetaBAT2-S938.43_contig_1391500_12	K07496
MEGAHIT-MetaBAT2-S938.43_contig_1391501_2	K06012
MEGAHIT-MetaBAT2-S938.43_contig_1391501_3	K06385
MEGAHIT-MetaBAT2-S938.43_contig_1391502_3	K01938
MEGAHIT-MetaBAT2-S938.43_contig_1391502_4	K06925
MEGAHIT-MetaBAT2-S938.43_contig_1391502_5	K14742
MEGAHIT-MetaBAT2-S938.43_contig_1391502_6	K01808
