Protein	gene	Indistinguishable.Proteins	Description	ko_id
1	P15	932_SemiBin_102_contig_2248366_21		rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)	NA
2	P152	932_SemiBin_124_contig_6655471_14		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
3	P186	932_SemiBin_124_contig_6655525_1		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
4	P213	932_SemiBin_153_contig_6137021_2		rank: D;Iron-containing alcohol dehydrogenase [PF00465.24];Iron-containing alcohol dehydrogenase [PF13685.11] (db=pfam)	NA
5	P217	932_SemiBin_153_contig_6137030_8		rank: C;cellobiose PTS system EIIC component (db=kegg)	K02761
6	P225	932_SemiBin_153_contig_6137050_12		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
7	P263	932_SemiBin_153_contig_6137093_1		rank: C;cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205] (db=kegg)	K02759
8	P415	932_SemiBin_172_contig_661113_29	956_SemiBin_187_contig_5944759_24, MEGAHIT-MetaBAT2-S957.66_contig_2890081_11, MEGAHIT-MetaBAT2-S959.110_contig_6841434_5, MEGAHIT-MetaBAT2-S979.51_contig_4518104_18, MEGAHIT-MetaBAT2-S979.94_contig_4634404_3	rank: C;small subunit ribosomal protein S11 (db=kegg)	K02948
9	P521	932_SemiBin_216_contig_6775480_3	MEGAHIT-MetaBAT2-S933.151_contig_5473307_3, MEGAHIT-MetaBAT2-S945.93_contig_4661479_69, MEGAHIT-MetaBAT2-S955.109_contig_2164647_5, MEGAHIT-MetaBAT2-S983.33_contig_5576690_22, group3_bins.323_contig_3885476_6, group9_bins.360_contig_3961367_7	rank: C;preprotein translocase subunit SecY (db=kegg)	K03076
10	P576	932_SemiBin_237_contig_3195438_88		rank: C;protease IV [EC:3.4.21.-] (db=kegg)	K04773
11	P776	932_SemiBin_237_contig_3195459_33	MEGAHIT-MetaBAT2-S962.80_contig_4191346_2	rank: C;propionyl-CoA:succinyl-CoA transferase [EC:2.8.3.27] (db=kegg)	K22214
12	P793	932_SemiBin_237_contig_3195460_34	MEGAHIT-MetaBAT2-S962.80_contig_4191177_6	rank: C;large subunit ribosomal protein L18 (db=kegg)	K02881
13	P797	932_SemiBin_237_contig_3195460_38	MEGAHIT-MetaBAT2-S962.80_contig_4191177_2	rank: C;large subunit ribosomal protein L5 (db=kegg)	K02931
14	P877	932_SemiBin_237_contig_3195473_39		rank: C;malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] (db=kegg)	K00029
15	P935	932_SemiBin_237_contig_3195489_2	MEGAHIT-MetaBAT2-S970.119_contig_4140876_1	rank: C;K(+)-stimulated pyrophosphate-energized sodium pump [EC:7.2.3.1] (db=kegg)	K15987
16	P1089	933_SemiBin_193_contig_859878_20		rank: C;large subunit ribosomal protein L5 (db=kegg)	K02931
17	P1091	933_SemiBin_193_contig_859878_26		rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
18	P1113	933_SemiBin_193_contig_859890_31		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)	K02935
19	P1143	933_SemiBin_252_contig_4987352_31		rank: C;F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1] (db=kegg)	K02111
20	P1170	934_SemiBin_124_contig_2042514_10		rank: D;MFS/sugar transport protein [PF13347.11] (db=pfam)	NA
21	P1197	935_SemiBin_113_contig_5971576_36		rank: D;Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)	NA
22	P1211	935_SemiBin_113_contig_5971579_30		rank: C;large subunit ribosomal protein L15 (db=kegg)	K02876
23	P1296	935_SemiBin_113_contig_5971632_1		rank: C;putative tricarboxylic transport membrane protein (db=kegg)	K07795
24	P1358	935_SemiBin_192_contig_3011944_36		rank: D;Binding-protein-dependent transport system inner membrane component [PF00528.27] (db=pfam)	NA
25	P1359	935_SemiBin_192_contig_3011944_37		rank: C;cellobiose transport system substrate-binding protein (db=kegg)	K10240
26	P1361	935_SemiBin_192_contig_3011944_6		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
27	P1364	935_SemiBin_192_contig_3011946_4		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)	NA
28	P1383	935_SemiBin_192_contig_3011956_1		rank: C;rubrerythrin (db=kegg)	K19824
29	P1424	935_SemiBin_192_contig_3011971_179		rank: D;HMGL-like [PF00682.24];Conserved carboxylase domain [PF02436.23];Biotin-requiring enzyme [PF00364.27] (db=pfam)	NA
30	P1473	935_SemiBin_192_contig_3011993_18		rank: C;alanine or glycine:cation symporter, AGCS family (db=kegg)	K03310
31	P1475	935_SemiBin_192_contig_3011993_53		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
32	P1506	935_SemiBin_192_contig_3012009_58		rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)	K01999
33	P1509	935_SemiBin_192_contig_3012009_63		rank: C;small subunit ribosomal protein S11 (db=kegg)	K02948
34	P1584	935_SemiBin_236_contig_538420_25		rank: E	NA
35	P1647	935_SemiBin_236_contig_538459_7		rank: C;methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3] (db=kegg)	K01604
36	P1684	935_SemiBin_68_contig_5672585_18		rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)	K01784
37	P1705	935_SemiBin_68_contig_5672603_10	967_SemiBin_89_contig_4060527_1, group9_bins.348_contig_6928410_12	rank: C;small subunit ribosomal protein S18 (db=kegg)	K02963
38	P1801	935_SemiBin_68_contig_5672752_2	968_SemiBin_131_contig_4413959_7, 970_SemiBin_53_contig_3961144_9	rank: C;large subunit ribosomal protein L3 (db=kegg)	K02906
39	P1805	935_SemiBin_68_contig_5672754_3	967_SemiBin_89_contig_4060666_11	rank: C;small subunit ribosomal protein S15 (db=kegg)	K02956
40	P1855	935_SemiBin_68_contig_5672805_3	967_SemiBin_89_contig_4060596_4	rank: C;large subunit ribosomal protein L24 (db=kegg)	K02895
41	P1927	937_SemiBin_148_contig_282743_8	974_SemiBin_118_contig_849910_1	rank: C;dihydroxy-acid dehydratase [EC:4.2.1.9] (db=kegg)	K01687
42	P2005	937_SemiBin_148_contig_282820_10		rank: C;cellobiose transport system substrate-binding protein (db=kegg)	K10240
43	P2069	937_SemiBin_148_contig_282880_3		rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)	K01784
44	P2178	938_SemiBin_99_contig_3776150_24		rank: C;Bacteriophage tail sheath protein (db=kegg)	K06907
45	P2352	939_SemiBin_87_contig_3125166_5		rank: D;Oxidoreductase family, C-terminal alpha/beta domain [PF19051.5];Oxidoreductase family, NAD-binding Rossmann fold [PF01408.27];Homoserine dehydrogenase, NAD binding domain [PF03447.21] (db=pfam)	NA
46	P2423	940_SemiBin_253_contig_347921_6		rank: C;6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50] (db=kegg)	K01737
47	P2597	941_SemiBin_67_contig_4026742_45		rank: D;Glycosyl hydrolase family 48 [PF02011.20] (db=pfam)	NA
48	P2621	941_SemiBin_67_contig_4026764_38	990_SemiBin_269_contig_1074216_15	rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
49	P2674	941_SemiBin_67_contig_4026894_2	990_SemiBin_269_contig_1074239_21	rank: C;cellobiose phosphorylase [EC:2.4.1.20] (db=kegg)	K00702
50	P2700	944_SemiBin_44_contig_4820264_3		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)	K02935
51	P2707	944_SemiBin_44_contig_4820266_7		rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)	K00266
52	P2725	944_SemiBin_44_contig_4820280_1		rank: E	NA
53	P2827	944_SemiBin_44_contig_4820398_2		rank: E	NA
54	P2840	944_SemiBin_44_contig_4820416_3		rank: C;elongation factor G (db=kegg)	K02355
55	P2854	944_SemiBin_44_contig_4820437_9		rank: C;aspartyl-tRNA synthetase [EC:6.1.1.12] (db=kegg)	K01876
56	P2909	944_SemiBin_44_contig_4820502_20	945_SemiBin_50_contig_502360_2	rank: D;Concanavalin A-like lectin/glucanases superfamily [PF13385.12];Pentaxin family [PF00354.23];Viral BACON domain [PF19190.5] (db=pfam)	NA
57	P3148	945_SemiBin_201_contig_3493387_33		rank: C;formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (db=kegg)	K00125
58	P3183	945_SemiBin_201_contig_3493400_108	MEGAHIT-MetaBAT2-S939.26_contig_4447538_9	rank: C;large subunit ribosomal protein L30e (db=kegg)	K02908
59	P3227	945_SemiBin_201_contig_3493405_1		rank: C;5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2] (db=kegg)	K00320
60	P3312	945_SemiBin_50_contig_502320_12		rank: E	NA
61	P3616	946_SemiBin_296_contig_4307519_1		rank: C;myo-inositol-1-phosphate synthase [EC:5.5.1.4] (db=kegg)	K01858
62	P3629	946_SemiBin_296_contig_4307524_24		rank: C;large subunit ribosomal protein L14 (db=kegg)	K02874
63	P3692	946_SemiBin_296_contig_4307558_14		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
64	P3694	946_SemiBin_296_contig_4307559_13		rank: D;SurA-like N-terminal domain [PF13623.11] (db=pfam)	NA
65	P3703	946_SemiBin_296_contig_4307564_12		rank: D;Dockerin type I domain [PF00404.23] (db=pfam)	NA
66	P3893	946_SemiBin_333_contig_5616776_1		rank: C;5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45] (db=kegg)	K11751
67	P3916	946_SemiBin_333_contig_5616800_23		rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
68	P4049	947_SemiBin_204_contig_1162479_12	group7_bins.231_contig_891199_26	rank: D;Bacterial membrane protein YfhO [PF09586.15] (db=pfam)	NA
69	P4059	947_SemiBin_204_contig_1162486_3		rank: E	NA
70	P4062	947_SemiBin_204_contig_1162491_16		rank: D;Domain of unknown function (DUF4957) [PF16318.10] (db=pfam)	NA
71	P4104	947_SemiBin_204_contig_1162518_14		rank: C;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] (db=kegg)	K00174
72	P4253	947_SemiBin_8_contig_4470284_1		rank: D;Fumarate reductase flavoprotein C-term [PF02910.25] (db=pfam)	NA
73	P4308	947_SemiBin_8_contig_4470394_7		rank: C;LemA protein (db=kegg)	K03744
74	P4323	947_SemiBin_8_contig_4470428_8		rank: C;HSP20 family protein (db=kegg)	K13993
75	P4338	947_SemiBin_8_contig_4470447_1	MEGAHIT-MetaBAT2-S951.163_contig_4275211_6	rank: C;large subunit ribosomal protein L19 (db=kegg)	K02884
76	P5321	948_SemiBin_209_contig_3427095_2		rank: C;glycogen phosphorylase [EC:2.4.1.1] (db=kegg)	K00688
77	P5417	950_SemiBin_52_contig_2899165_10		rank: C;type IV pilus assembly protein PilM (db=kegg)	K02662
78	P5521	951_SemiBin_94_contig_3789186_18		rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)	K17318
79	P5530	951_SemiBin_94_contig_3789200_10		rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
80	P5603	953_SemiBin_322_contig_357580_13		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
81	P5615	953_SemiBin_322_contig_357583_19		rank: C;acyl carrier protein (db=kegg)	K02078
82	P5618	953_SemiBin_322_contig_357583_32		rank: C;ribosome-binding ATPase (db=kegg)	K06942
83	P5768	953_SemiBin_322_contig_357591_76		rank: C;large subunit ribosomal protein L25 (db=kegg)	K02897
84	P5809	953_SemiBin_322_contig_357597_106		rank: C;tagaturonate reductase [EC:1.1.1.58] (db=kegg)	K00041
85	P5823	953_SemiBin_322_contig_357597_160		rank: D;UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain [PF03721.19];UDP-glucose/GDP-mannose dehydrogenase family, central domain [PF00984.24];UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain [PF03720.20] (db=pfam)	NA
86	P5867	953_SemiBin_322_contig_357600_27		rank: C;xylose isomerase [EC:5.3.1.5] (db=kegg)	K01805
87	P5926	953_SemiBin_322_contig_357603_24		rank: C;phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] (db=kegg)	K00602
88	P6085	954_SemiBin_221_contig_1002593_5		rank: D;MaoC like domain [PF01575.24] (db=pfam)	NA
89	P6230	955_SemiBin_146_contig_875470_1		rank: E	NA
90	P6301	955_SemiBin_256_contig_4164731_9		rank: C;flagellin (db=kegg)	K02406
91	P6356	955_SemiBin_256_contig_4164773_90		rank: C;flagellin (db=kegg)	K02406
92	P6487	956_SemiBin_137_contig_428277_4		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
93	P6534	956_SemiBin_187_contig_5944644_20		rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
