code_protein	Protein	Association	Loading_Value	Description	Indistinguishable.Proteins	comp1	comp2	comp3
X13150	983_SemiBin_151_contig_1974809_55	stress	0.0595962877526271	rank: C;small subunit ribosomal protein S16 (db=kegg)		0.0595962877526271	0.024145545643426	-0.0606313531913264
X26580	MEGAHIT-MetaBAT2-S958.137_contig_6759114_29	stress	0.0573392873940378	rank: C;small subunit ribosomal protein S2 (db=kegg)		0.0573392873940378	0.0346625765083861	-0.0233526516120749
X2501	941_SemiBin_237_contig_6359407_11	control	-0.056735001734704	rank: C;biopolymer transport protein ExbB (db=kegg)		-0.056735001734704	-0.0291421844993543	-0.011540158497496
X19734	MEGAHIT-MetaBAT2-S945.11_contig_1072143_7	control	-0.0562979233519118	rank: D;ABC transporter [PF00005.32];SbcC/RAD50-like, Walker B motif [PF13558.11] (db=pfam)		-0.0562979233519118	-0.0400672146569157	-0.0334647596419689
X9480	967_SemiBin_89_contig_4060596_21	stress	0.0535396542338843	rank: C;small subunit ribosomal protein S4 (db=kegg)		0.0535396542338843	-0.000285583736986688	-0.0642655871819773
X9296	966_SemiBin_95_contig_3845549_22	stress	0.0522440837290574	rank: C;tagaturonate reductase [EC:1.1.1.58] (db=kegg)		0.0522440837290574	0.0239179202762117	-0.00625583937900243
X9640	968_SemiBin_116_contig_4216208_22	stress	0.0521965178268465	rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)		0.0521965178268465	-0.00312305547489012	-0.0618988160278506
X9645	968_SemiBin_116_contig_4216236_14	stress	0.0517909823583654	rank: D;TM2 domain [PF05154.21] (db=pfam)		0.0517909823583654	-0.00580638710088854	-0.0497716891934329
X21548	MEGAHIT-MetaBAT2-S947.8_contig_60328_1	stress	0.0505018838246434	rank: E		0.0505018838246434	0.0261916645078475	-0.028702136220768
X12530	981_SemiBin_432_contig_5057960_39	control	-0.0498808614527737	rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)		-0.0498808614527737	0.00227050972118749	0.0233833276703477
X9625	968_SemiBin_116_contig_4216141_7	stress	0.049506108268393	rank: C;elongation factor G (db=kegg)		0.049506108268393	-0.0117440461885159	-0.0523989808553716
X13149	983_SemiBin_151_contig_1974809_44	stress	0.049009749883145	rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)		0.049009749883145	-0.000297525387309507	-0.0204487589914221
X12499	981_SemiBin_432_contig_5057950_86	control	-0.0486735193686597	rank: C;methyl-accepting chemotaxis protein (db=kegg)		-0.0486735193686597	0.0117734784602261	0.0267056054337206
X21718	MEGAHIT-MetaBAT2-S948.142_contig_869900_15	stress	0.0478082385890068	rank: C;gliding motility-associated transport system ATP-binding protein (db=kegg)		0.0478082385890068	0.0462883916868095	0.017095709834607
X12479	981_SemiBin_432_contig_5057947_111	control	-0.0477466326702057	rank: C;ornithine carbamoyltransferase [EC:2.1.3.3] (db=kegg)		-0.0477466326702057	0.00161182397771588	0.0171801063371516
X17609	MEGAHIT-MetaBAT2-S935.50_contig_6482483_29	control	-0.0473304019966081	rank: C;ribosome hibernation promoting factor (db=kegg)		-0.0473304019966081	-0.0366618603061917	-0.0330746390223779
X19095	MEGAHIT-MetaBAT2-S942.153_contig_5812374_4	stress	0.0471350060967501	rank: E		0.0471350060967501	-0.0102787075506476	-0.0132227844710684
X25031	MEGAHIT-MetaBAT2-S954.74_contig_2630189_11	stress	0.0467042458929946	rank: C;molecular chaperone DnaK (db=kegg)		0.0467042458929946	0.0120203664227875	0.00152588461639464
X19084	MEGAHIT-MetaBAT2-S942.153_contig_5812326_4	stress	0.046575227214363	rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)		0.046575227214363	-0.0261182175585225	-0.0283710878847627
X21540	MEGAHIT-MetaBAT2-S947.8_contig_60230_2	stress	0.046543737724578	rank: C;DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (db=kegg)		0.046543737724578	0.0467086231625329	0.0105061356072464
X9436	967_SemiBin_89_contig_4060566_8	stress	0.0464412519771646	rank: C;beta-glucosidase [EC:3.2.1.21] (db=kegg)		0.0464412519771646	-0.0108210788890709	-0.066407392442664
X9610	968_SemiBin_116_contig_4216109_18	stress	0.0462199021634338	rank: E		0.0462199021634338	0.00528057201063368	-0.052380804920125
X11133	973_SemiBin_47_contig_3810168_1	control	-0.0454675815968595	rank: E		-0.0454675815968595	-0.0326552231581948	-0.00964531812110006
X9347	967_SemiBin_89_contig_4060481_6	stress	0.0454586317664103	rank: C;threonine synthase [EC:4.2.3.1] (db=kegg)		0.0454586317664103	0.0290421630209924	0.00807727640714757
X7986	961_SemiBin_68_contig_3660622_7	stress	0.0453663667183332	rank: C;methyl-accepting chemotaxis protein (db=kegg)		0.0453663667183332	0.0030405297968134	-0.000435331374566038
