Bin	classification	Association	Loading_Value	codeBin	comp1	comp2	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references	msa_percent	translation_table	red_value	warnings
group6_bins.106	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__UBA4248;f__UBA4248;g__RGIG464;s__	stress	-0.334838677929206	V430	-0.334838677929206	0.0173959351085207	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__UBA4248;f__UBA4248;g__RGIG464;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	81,37	11	0,90279	N/A
MEGAHIT-MetaBAT2-S972.52	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp004556165	control	0.264487553262307	V321	0.264487553262307	-0.323144671976304	GCA_004556165.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp004556165	97,59	0,863	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
983_SemiBin_128	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAJOJO01;s__	control	0.2452388927638	V109	0.2452388927638	-0.124085373734742	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAJOJO01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017940575.1, s__CAJOJO01 sp017940575, 95.0, 86.33, 0.177	52,14	11	0,95747	N/A
MEGAHIT-MetaBAT2-S973.217	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA1685;s__UBA1685 sp004560435	control	0.234032310657109	V326	0.234032310657109	-0.0631804122533527	GCA_022778545.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA1685;s__UBA1685 sp004560435	96,1	0,8	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
group8_bins.266	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus intestinavium	stress	-0.219917247987371	V461	-0.219917247987371	0.478277164238974	GCA_019117225.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus intestinavium	96,27	0,663	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S971.164	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-793;s__	control	0.200199448892545	V316	0.200199448892545	-0.0622213019771883	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-793;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	63,52	11	0,95217	N/A
MEGAHIT-MetaBAT2-S946.39	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp022775905	control	0.195363837355664	V204	0.195363837355664	0.0901343905773749	GCA_022775905.1	95	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp022775905	99.63	0.95899999999999996	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_003814835.1, s__Methanobrevibacter_A gottschalkii, 95.0, 87.24, 0.539; GCA_029219465.1, s__Methanobrevibacter_A sp900769095, 95.0, 86.19, 0.43	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S987.82	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__CACZQA01;s__CACZQA01 sp902783175	control	0.187121692785916	V378	0.187121692785916	0.0616381925056509	GCA_902783175.1	95	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__CACZQA01;s__CACZQA01 sp902783175	97,11	0,789	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900758075.1, s__CACZQA01 sp900758075, 95.0, 95.56, 0.785	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S968.183	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Avelusimicrobium;s__Avelusimicrobium sp934667625	stress	-0.184632743521423	V297	-0.184632743521423	-0.179678768268181	GCA_934667625.1	95	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Avelusimicrobium;s__Avelusimicrobium sp934667625	98,85	0,948	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MEGAHIT-MetaBAT2-S972.108	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__CAG-488 sp016292785	stress	-0.184449858739547	V319	-0.184449858739547	0.0468368817809537	GCA_016292785.1	95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488;s__CAG-488 sp016292785	97,55	0,909	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
