"Protein"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"SCORE_neg_log10_p"	"Protein"	"Indistinguishable.Proteins"	"Description"
"1"	"P10013"	7.56314295708942	6.23000105525445	-1.33314190183497	0.0287455501665952	1.54142937489312	"969_SemiBin_208_contig_4993893_3"	""	"rank: C;argininosuccinate lyase [EC:4.3.2.1] (db=kegg)"
"2"	"P10209"	8.92369618032861	6.56683674924431	-2.3568594310843	0.015077909403964	1.82165887048636	"969_SemiBin_225_contig_2281529_10"	"group7_bins.394_contig_663727_4"	"rank: C;4-hydroxybutyrate dehydrogenase [EC:1.1.1.61] (db=kegg)"
"3"	"P10218"	9.22761702032327	11.9157729434114	2.68815592308809	0.0279722536216295	1.55327254270926	"969_SemiBin_225_contig_2281570_10"	"MEGAHIT-MetaBAT2-S970.215_contig_2539232_6"	"rank: C;phenylacetate-CoA ligase [EC:6.2.1.30] (db=kegg)"
"4"	"P10308"	7.60680696047497	6.12341609489345	-1.48339086558152	0.037713475622342	1.42350344176441	"970_SemiBin_111_contig_3275991_104"	""	"rank: E"
"5"	"P10315"	8.8564078862339	6.65000885257723	-2.20639903365668	0.0142873762983444	1.84504751674917	"970_SemiBin_111_contig_3275991_15"	"MEGAHIT-MetaBAT2-S962.15_contig_5442072_5, MEGAHIT-MetaBAT2-S964.113_contig_1412684_23, MEGAHIT-MetaBAT2-S970.211_contig_7007125_7, MEGAHIT-MetaBAT2-S972.40_contig_3573541_6, group3_bins.183_contig_1475897_13, group8_bins.276_contig_3510806_8"	"rank: D;Branched-chain amino acid transport system / permease component [PF02653.21] (db=pfam)"
"6"	"P10362"	7.80500748947428	5.97216033916547	-1.83284715030881	0.017088451473977	1.76729729051373	"970_SemiBin_111_contig_3275999_3"	""	"rank: C;LemA protein (db=kegg)"
"7"	"P1037"	6.9711331776183	5.5440744837113	-1.42705869390699	0.0162944829684047	1.78795941534804	"933_SemiBin_193_contig_859805_2"	""	"rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)"
"8"	"P10400"	11.454570348889	13.9501885718969	2.49561822300784	0.0303064586866605	1.51846480803009	"970_SemiBin_111_contig_3276015_52"	""	"rank: D;ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.30];ATPsynthase alpha/beta subunit N-term extension [PF16886.10];ATP synthase alpha/beta family, beta-barrel domain [PF02874.28];C-terminal domain of V and A type ATP synthase [PF22919.1] (db=pfam)"
"9"	"P10403"	7.10209011260086	6.01635097809266	-1.0857391345082	0.0497326973195051	1.3033579855856	"970_SemiBin_111_contig_3276015_56"	"MEGAHIT-MetaBAT2-S964.113_contig_1412651_13"	"rank: C;V/A-type H+/Na+-transporting ATPase subunit K (db=kegg)"
"10"	"P10430"	6.90366208979822	5.77280200053966	-1.13086008925856	0.0399851323113603	1.39810146255785	"970_SemiBin_149_contig_3093823_18"	""	"rank: C;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] (db=kegg)"
"11"	"P10476"	8.5782805617671	6.32900365815434	-2.24927690361275	0.0116087555845344	1.93521433252117	"970_SemiBin_53_contig_3961020_5"	""	"rank: C;basic membrane protein A and related proteins (db=kegg)"
"12"	"P10481"	14.591692342436	12.058149602171	-2.53354274026493	0.0401012874416716	1.39684168424171	"970_SemiBin_53_contig_3961073_21"	""	"rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)"
"13"	"P10502"	8.61586200293582	6.72838825470085	-1.88747374823497	0.0170674260442381	1.76783197033648	"970_SemiBin_87_contig_5996953_3"	""	"rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)"
"14"	"P10504"	5.67638622441202	7.21872864695413	1.54234242254211	0.013171817982327	1.88035427931279	"970_SemiBin_87_contig_5997004_2"	""	"rank: D;Galactose-1-phosphate uridyl transferase, C-terminal domain [PF02744.22];Galactose-1-phosphate uridyl transferase, N-terminal domain [PF01087.27];Domain of unknown function (DUF4922) [PF16269.10] (db=pfam)"
"15"	"P10506"	7.80048136447183	5.90031085994675	-1.90017050452508	0.00883950233858397	2.05357218495195	"970_SemiBin_87_contig_5997010_8"	"972_SemiBin_102_contig_6480001_5"	"rank: D;Inorganic H+ pyrophosphatase [PF03030.21] (db=pfam)"
"16"	"P10514"	6.94447890799429	5.75384573046413	-1.19063317753016	0.0379746067398046	1.42050671494028	"970_SemiBin_87_contig_5997063_6"	""	"rank: C;lactose/L-arabinose transport system substrate-binding protein (db=kegg)"
"17"	"P10516"	7.29497725706496	6.01435852717606	-1.28061872988889	0.0459144183966843	1.33805091257121	"970_SemiBin_87_contig_5997090_4"	""	"rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)"
"18"	"P10525"	8.51305695754406	10.8851046222164	2.37204766467231	0.0417243150846774	1.3796107836454	"970_SemiBin_87_contig_5997217_4"	""	"rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)"
"19"	"P10563"	12.6061695725418	15.15794790827	2.55177833572823	0.0497617742523426	1.30310414330388	"972_SemiBin_102_contig_6480161_2"	""	"rank: D;Iron only hydrogenase large subunit, C-terminal domain [PF02906.19];Iron hydrogenase small subunit [PF02256.22];Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)"
"20"	"P10575"	9.49860000225167	6.99291554228002	-2.50568445997165	0.0149361117331872	1.82576244620218	"972_SemiBin_103_contig_3787311_10"	"MEGAHIT-MetaBAT2-S964.185_contig_75003_12"	"rank: C;preprotein translocase subunit YajC (db=kegg)"
"21"	"P10582"	7.16349704935296	5.76909010729682	-1.39440694205614	0.0220874001932556	1.65585539993527	"972_SemiBin_103_contig_3787334_4"	"MEGAHIT-MetaBAT2-S964.185_contig_74934_15"	"rank: C;methionyl-tRNA synthetase [EC:6.1.1.10] (db=kegg)"
"22"	"P10606"	9.73782966022965	6.88058078892034	-2.85724887130931	0.00605364094820884	2.21798334136357	"972_SemiBin_103_contig_3787488_4"	"MEGAHIT-MetaBAT2-S964.185_contig_74996_9"	"rank: C;F-type H+-transporting ATPase subunit c (db=kegg)"
"23"	"P10615"	15.1939390009113	16.4904188287669	1.29647982785559	0.0448005672953585	1.34871648663391	"972_SemiBin_103_contig_3787528_2"	""	"rank: D;ABC transporter [PF00005.32] (db=pfam)"
"24"	"P1089"	9.74831693664138	12.1260785063596	2.37776156971821	0.036275056044317	1.44039190791245	"933_SemiBin_193_contig_859878_20"	""	"rank: C;large subunit ribosomal protein L5 (db=kegg)"
"25"	"P1091"	8.38219054273412	11.3291081883135	2.94691764557936	0.0114438508401021	1.94142781145247	"933_SemiBin_193_contig_859878_26"	""	"rank: C;small subunit ribosomal protein S3 (db=kegg)"
"26"	"P1120"	14.686137513343	15.9203357038827	1.2341981905397	0.0388996344417152	1.41005447992601	"933_SemiBin_252_contig_4987272_38"	""	"rank: C;basic membrane protein A and related proteins (db=kegg)"
"27"	"P11217"	7.61500140654033	6.16965565337864	-1.44534575316169	0.0488889605559273	1.31078919631407	"973_SemiBin_47_contig_3810202_6"	""	"rank: D;Type I phosphodiesterase / nucleotide pyrophosphatase [PF01663.27];Sulfatase [PF00884.28];Metalloenzyme superfamily [PF01676.23] (db=pfam)"
"28"	"P11289"	6.89233911426099	5.79208592969881	-1.10025318456218	0.0313910657578065	1.50319393932139	"973_SemiBin_47_contig_3810232_1"	""	"rank: D;Sigma 54 modulation protein / S30EA ribosomal protein [PF02482.24] (db=pfam)"
"29"	"P11331"	7.28201079743328	6.06406163456754	-1.21794916286574	0.0474154986667179	1.32407967762472	"973_SemiBin_47_contig_3810247_20"	""	"rank: C;small subunit ribosomal protein S8 (db=kegg)"
"30"	"P11339"	7.52627288151664	9.71144210303349	2.18516922151685	0.0365072148116265	1.43762129874245	"973_SemiBin_47_contig_3810247_30"	""	"rank: C;large subunit ribosomal protein L2 (db=kegg)"
"31"	"P11565"	7.70570973846876	6.09873944328234	-1.60697029518642	0.038497054109363	1.41457250251741	"976_SemiBin_228_contig_1679523_36"	""	"rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)"
"32"	"P11640"	6.07353560680257	7.44486063794445	1.37132503114188	0.0364154103568696	1.43871479171768	"976_SemiBin_24_contig_6422221_2"	""	"rank: C;alpha-amylase [EC:3.2.1.1] (db=kegg)"
"33"	"P11686"	6.23599587281115	7.82240960388176	1.58641373107061	0.0431282685703395	1.36523797671241	"976_SemiBin_24_contig_6422224_55"	""	"rank: C;U32 family peptidase [EC:3.4.-.-] (db=kegg)"
"34"	"P11695"	5.68022077102676	7.10700250413044	1.42678173310368	0.0141492488531822	1.84926661509213	"976_SemiBin_24_contig_6422228_11"	""	"rank: C;ribosome-binding factor A (db=kegg)"
"35"	"P1170"	13.1640968635332	15.7049892868123	2.5408924232791	0.0105646053072387	1.97614672351372	"934_SemiBin_124_contig_2042514_10"	""	"rank: D;MFS/sugar transport protein [PF13347.11] (db=pfam)"
"36"	"P11703"	5.75358277531811	6.96470510956239	1.21112233424428	0.0359489738238385	1.44431350219362	"976_SemiBin_24_contig_6422232_4"	""	"rank: C;nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18] (db=kegg)"
"37"	"P11946"	8.75590902954244	6.54299168086619	-2.21291734867625	0.0194992256450804	1.70998263503472	"976_SemiBin_24_contig_6422254_2"	""	"rank: C;xanthine phosphoribosyltransferase [EC:2.4.2.22] (db=kegg)"
"38"	"P1197"	10.6596163964668	7.80008156024357	-2.85953483622321	0.0180531494386611	1.74344702287094	"935_SemiBin_113_contig_5971576_36"	""	"rank: D;Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)"
"39"	"P12135"	5.80450492350795	7.19122979504168	1.38672487153373	0.0141553147390359	1.84908046978832	"976_SemiBin_24_contig_6422275_11"	""	"rank: C;3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] (db=kegg)"
"40"	"P12154"	8.38902835621817	6.50383373744294	-1.88519461877523	0.0390940172474557	1.40788969977089	"976_SemiBin_36_contig_3814046_16"	""	"rank: C;rubrerythrin (db=kegg)"
"41"	"P12181"	7.0204430692255	8.69300139218851	1.67255832296301	0.0343714825389245	1.46380173511363	"976_SemiBin_36_contig_3814056_54"	""	"rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)"
"42"	"P12285"	8.37914344526238	6.72577833138772	-1.65336511387466	0.0482922417935201	1.31612263357341	"978_SemiBin_64_contig_4662566_3"	""	"rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)"
"43"	"P12305"	7.3745072037584	9.63090388244765	2.25639667868925	0.0293296683660243	1.53269284760997	"981_SemiBin_196_contig_5051772_30"	""	"rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)"
"44"	"P12315"	6.23650355178374	7.57459226249067	1.33808871070693	0.0486882293407199	1.31257601928318	"981_SemiBin_196_contig_5051779_82"	""	"rank: E"
"45"	"P12322"	5.73644543779596	6.98229533434764	1.24584989655168	0.0390463124391	1.40841997492294	"981_SemiBin_196_contig_5051782_44"	""	"rank: D;Tetratricopeptide repeat-like domain [PF09976.14] (db=pfam)"
"46"	"P12328"	6.42228604268742	8.79942313618135	2.37713709349394	0.020460296794697	1.68908807075268	"981_SemiBin_196_contig_5051784_49"	""	"rank: E"
"47"	"P12351"	8.9319609659395	11.4110081587584	2.47904719281888	0.0285718891836071	1.54406104296025	"981_SemiBin_196_contig_5051789_149"	""	"rank: C;modulator of FtsH protease HflK (db=kegg)"
"48"	"P12354"	5.74436811778326	7.15767515657845	1.41330703879519	0.0231379434419634	1.63567524484402	"981_SemiBin_196_contig_5051789_58"	""	"rank: C;large subunit ribosomal protein L1 (db=kegg)"
"49"	"P12363"	6.01186518478326	7.17484040301373	1.16297521823047	0.0323697748676247	1.48986032111297	"981_SemiBin_196_contig_5051789_75"	""	"rank: C;small subunit ribosomal protein S3 (db=kegg)"
"50"	"P12383"	5.83388705315895	7.38540423208213	1.55151717892318	0.0146067582698397	1.8354461579011	"981_SemiBin_196_contig_5051802_10"	""	"rank: D;Protein export membrane protein [PF02355.21] (db=pfam)"
"51"	"P1239"	8.12593304265893	6.31683958089303	-1.80909346176589	0.0178711761287012	1.74784686498754	"935_SemiBin_113_contig_5971605_13"	"968_SemiBin_131_contig_4413952_10, 970_SemiBin_53_contig_3961192_4"	"rank: E"
"52"	"P12393"	7.03657467174559	9.53357957311193	2.49700490136634	0.0179472218327127	1.74600276915263	"981_SemiBin_196_contig_5051807_55"	""	"rank: C;putative tryptophan/tyrosine transport system substrate-binding protein (db=kegg)"
"53"	"P12396"	5.96261908012805	7.20309363130775	1.2404745511797	0.0331517613861751	1.47949339214686	"981_SemiBin_196_contig_5051807_97"	""	"rank: D;PPIC-type PPIASE domain [PF00639.26] (db=pfam)"
"54"	"P12502"	8.2487303539276	11.3021233484877	3.05339299456008	0.0087791355224875	2.05654824677014	"981_SemiBin_432_contig_5057951_32"	""	"rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)"
"55"	"P12705"	7.1596166688938	6.05210257922071	-1.10751408967309	0.0437924611451306	1.3586006466847	"983_SemiBin_133_contig_1182607_12"	""	"rank: E"
"56"	"P12793"	9.33151172015311	6.89081414912258	-2.44069757103053	0.0252980757487412	1.59691251137301	"983_SemiBin_140_contig_943767_3"	""	"rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)"
"57"	"P12828"	6.44319208603054	8.44660162201777	2.00340953598723	0.0298215270751236	1.5254701213351	"983_SemiBin_140_contig_943807_45"	""	"rank: C;enoyl-CoA hydratase [EC:4.2.1.17] (db=kegg)"
"58"	"P12883"	5.641486453653	7.0878990981326	1.4464126444796	0.0109649462722678	1.95999349200422	"983_SemiBin_140_contig_943878_19"	""	"rank: C;small subunit ribosomal protein S5 (db=kegg)"
"59"	"P12929"	5.97633303077854	7.51967937436509	1.54334634358655	0.0269118306498413	1.57005675879207	"983_SemiBin_151_contig_1974770_8"	""	"rank: C;fructose PTS system EIIBC or EIIC component [EC:2.7.1.202] (db=kegg)"
"60"	"P12933"	5.64916088599433	6.98229827091095	1.33313738491662	0.0349291399533103	1.45681210769559	"983_SemiBin_151_contig_1974772_103"	""	"rank: C;preprotein translocase subunit YajC (db=kegg)"
"61"	"P12958"	6.76470285358618	8.92417418513229	2.15947133154611	0.0184204667238447	1.73469937017487	"983_SemiBin_151_contig_1974773_1"	""	"rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)"
"62"	"P12988"	6.50989757545546	9.82231585259141	3.31241827713596	0.00105456128969111	2.97692817457681	"983_SemiBin_151_contig_1974778_8"	""	"rank: C;phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)"
"63"	"P12992"	5.88652699779702	7.08029743571273	1.19377043791571	0.0408869835239465	1.38841492875181	"983_SemiBin_151_contig_1974779_29"	""	"rank: C;carbamate kinase [EC:2.7.2.2] (db=kegg)"
"64"	"P13016"	5.87344880171722	7.51220784785801	1.63875904614079	0.0216156651116416	1.66523139673122	"983_SemiBin_151_contig_1974780_17"	""	"rank: C;urocanate reductase [EC:1.3.99.33] (db=kegg)"
"65"	"P13045"	5.89959190634996	7.71209571131679	1.81250380496683	0.0103522444255747	1.98496548248052	"983_SemiBin_151_contig_1974791_13"	""	"rank: C;O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49] (db=kegg)"
"66"	"P13053"	5.91023932054531	7.55945847636401	1.64921915581869	0.0269895229628532	1.56880479148763	"983_SemiBin_151_contig_1974792_113"	""	"rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)"
"67"	"P13063"	5.79072105490453	7.72589934218278	1.93517828727824	0.0148209997239884	1.82912250081229	"983_SemiBin_151_contig_1974792_137"	""	"rank: C;small subunit ribosomal protein S1 (db=kegg)"
"68"	"P13070"	6.16802119197749	7.79285400863232	1.62483281665483	0.020883937199722	1.68018762143026	"983_SemiBin_151_contig_1974792_38"	""	"rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)"
"69"	"P13079"	6.06681090866179	7.88800340826917	1.82119249960738	0.0239875605125487	1.62001391667616	"983_SemiBin_151_contig_1974792_97"	""	"rank: D;Polymer-forming cytoskeletal [PF04519.18] (db=pfam)"
"70"	"P13104"	5.88427924217252	7.44216435889822	1.5578851167257	0.0222137239564127	1.65337862928809	"983_SemiBin_151_contig_1974798_11"	""	"rank: C;methyl-accepting chemotaxis protein (db=kegg)"
"71"	"P13124"	5.83972786826495	7.00327581432595	1.163547946061	0.0285395174027695	1.54455337498753	"983_SemiBin_151_contig_1974804_21"	""	"rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)"
"72"	"P13152"	5.8877220956909	7.33166341074254	1.44394131505164	0.0343110467017782	1.46456603304051	"983_SemiBin_151_contig_1974809_59"	""	"rank: C;large subunit ribosomal protein L19 (db=kegg)"
"73"	"P13157"	6.25732726712562	8.48130027422195	2.22397300709633	0.0220965425403484	1.65567567532469	"983_SemiBin_151_contig_1974809_81"	""	"rank: C;phage shock protein A (db=kegg)"
"74"	"P13172"	5.913600005501	7.0168852719328	1.1032852664318	0.0484910336919508	1.31433855785343	"983_SemiBin_151_contig_1974810_67"	""	"rank: C;phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20] (db=kegg)"
