gene	ko_id
group6_bins.106_contig_5179499_5	K04568
group6_bins.106_contig_5179499_6	K10843
group6_bins.106_contig_5179499_9	K03324
group6_bins.106_contig_5179499_10	K09163
group6_bins.106_contig_5179499_12	K02483
group6_bins.106_contig_5179500_1	K03177
group6_bins.106_contig_5179500_4	K01619
group6_bins.106_contig_5179501_2	K26937
group6_bins.106_contig_5179502_2	K08640
group6_bins.106_contig_5179502_4	K12132
group6_bins.106_contig_5179502_7	K03687
group6_bins.106_contig_5179502_9	K02238
group6_bins.106_contig_5179502_16	K00948
group6_bins.106_contig_5179502_17	K00864
group6_bins.106_contig_5179502_18	K04077
group6_bins.106_contig_5179502_19	K04078
group6_bins.106_contig_5179502_22	K02902
group6_bins.106_contig_5179502_23	K21470
group6_bins.106_contig_5179502_25	K03798
group6_bins.106_contig_5179502_27	K18672
group6_bins.106_contig_5179503_3	K00111
group6_bins.106_contig_5179504_4	K03928
group6_bins.106_contig_5179504_7	K08309
group6_bins.106_contig_5179505_2	K06076
group6_bins.106_contig_5179505_3	K00989
group6_bins.106_contig_5179507_4	K07003
group6_bins.106_contig_5179507_6	K03978
group6_bins.106_contig_5179507_7	K00812
group6_bins.106_contig_5179507_19	K02335
group6_bins.106_contig_5179507_25	K08316
group6_bins.106_contig_5179508_4	K06142
group6_bins.106_contig_5179508_7	K01139
group6_bins.106_contig_5179508_10	K02238
group6_bins.106_contig_5179508_11	K02237
group6_bins.106_contig_5179509_4	K05544
group6_bins.106_contig_5179509_9	K11753
group6_bins.106_contig_5179509_12	K02014
group6_bins.106_contig_5179509_20	K12132
group6_bins.106_contig_5179510_3	K08309
group6_bins.106_contig_5179510_4	K02835
group6_bins.106_contig_5179510_5	K02909
group6_bins.106_contig_5179510_6	K03317
group6_bins.106_contig_5179510_8	K22391
group6_bins.106_contig_5179510_16	K03641
group6_bins.106_contig_5179510_17	K03640
group6_bins.106_contig_5179510_18	K03641
group6_bins.106_contig_5179510_19	K01519
group6_bins.106_contig_5179510_20	K07082
group6_bins.106_contig_5179511_3	K01738
group6_bins.106_contig_5179512_2	K00784
group6_bins.106_contig_5179512_4	K13788
group6_bins.106_contig_5179512_5	K00925
group6_bins.106_contig_5179512_7	K01270
group6_bins.106_contig_5179512_8	K02503
group6_bins.106_contig_5179512_10	K01151
group6_bins.106_contig_5179512_11	K04096
group6_bins.106_contig_5179512_14	K01972
group6_bins.106_contig_5179513_1	K12132
group6_bins.106_contig_5179513_4	K01876
group6_bins.106_contig_5179514_2	K08307
group6_bins.106_contig_5179514_3	K02238
group6_bins.106_contig_5179514_4	K25706
group6_bins.106_contig_5179514_5	K03924
group6_bins.106_contig_5179514_12	K03783
group6_bins.106_contig_5179514_13	K00756
group6_bins.106_contig_5179514_15	K01338
group6_bins.106_contig_5179516_3	K11752
group6_bins.106_contig_5179516_4	K03168
group6_bins.106_contig_5179516_6	K14155
group6_bins.106_contig_5179516_9	K06867
group6_bins.106_contig_5179516_12	K06176
group6_bins.106_contig_5179516_13	K12132
group6_bins.106_contig_5179516_15	K02357
group6_bins.106_contig_5179516_16	K02967
group6_bins.106_contig_5179517_2	K07495
group6_bins.106_contig_5179517_5	K02242
group6_bins.106_contig_5179517_6	K00783
group6_bins.106_contig_5179517_7	K09710
group6_bins.106_contig_5179517_8	K00147
group6_bins.106_contig_5179519_3	K05795
group6_bins.106_contig_5179519_8	K02563
group6_bins.106_contig_5179519_10	K00604
group6_bins.106_contig_5179519_11	K02067
group6_bins.106_contig_5179519_12	K02066
group6_bins.106_contig_5179519_15	K07452
group6_bins.106_contig_5179519_16	K01887
group6_bins.106_contig_5179519_18	K02066
group6_bins.106_contig_5179519_19	K02065
group6_bins.106_contig_5179519_20	K02067
group6_bins.106_contig_5179519_21	K18480
group6_bins.106_contig_5179519_23	K02674
group6_bins.106_contig_5179520_2	K06959
group6_bins.106_contig_5179520_3	K11752
group6_bins.106_contig_5179520_4	K00793
group6_bins.106_contig_5179520_5	K14652
group6_bins.106_contig_5179520_6	K00794
group6_bins.106_contig_5179520_7	K03625
group6_bins.106_contig_5179520_11	K01835
group6_bins.106_contig_5179520_15	K07000
group6_bins.106_contig_5179520_16	K14441
group6_bins.106_contig_5179520_24	K23779
group6_bins.106_contig_5179520_25	K11072
group6_bins.106_contig_5179520_26	K11071
group6_bins.106_contig_5179520_27	K11070
group6_bins.106_contig_5179520_28	K11069
group6_bins.106_contig_5179521_2	K00703
group6_bins.106_contig_5179522_4	K03797
group6_bins.106_contig_5179525_1	K01153
group6_bins.106_contig_5179525_5	K03424
group6_bins.106_contig_5179525_6	K01633
group6_bins.106_contig_5179525_7	K00297
group6_bins.106_contig_5179525_14	K06178
group6_bins.106_contig_5179526_2	K07391
group6_bins.106_contig_5179526_5	K02452
group6_bins.106_contig_5179526_6	K02453
group6_bins.106_contig_5179526_7	K02652
group6_bins.106_contig_5179526_8	K02455
group6_bins.106_contig_5179526_9	K02456
group6_bins.106_contig_5179527_6	K03701
group6_bins.106_contig_5179528_4	K07001
group6_bins.106_contig_5179529_8	K00134
group6_bins.106_contig_5179529_9	K00927
group6_bins.106_contig_5179529_10	K01803
group6_bins.106_contig_5179529_11	K14475
group6_bins.106_contig_5179529_13	K02014
group6_bins.106_contig_5179530_1	K01873
group6_bins.106_contig_5179530_3	K00791
group6_bins.106_contig_5179530_4	K04079
group6_bins.106_contig_5179530_14	K03060
group6_bins.106_contig_5179530_17	K13292
group6_bins.106_contig_5179530_21	K01937
group6_bins.106_contig_5179530_23	K16052
group6_bins.106_contig_5179530_24	K05808
group6_bins.106_contig_5179530_25	K01462
group6_bins.106_contig_5179530_26	K02950
group6_bins.106_contig_5179530_27	K02992
group6_bins.106_contig_5179530_28	K02355
group6_bins.106_contig_5179530_29	K02946
group6_bins.106_contig_5179530_30	K02926
group6_bins.106_contig_5179530_31	K02892
group6_bins.106_contig_5179530_32	K02886
group6_bins.106_contig_5179530_33	K02965
group6_bins.106_contig_5179530_34	K02890
group6_bins.106_contig_5179530_35	K02982
group6_bins.106_contig_5179530_36	K02878
group6_bins.106_contig_5179530_37	K02904
group6_bins.106_contig_5179530_38	K02961
group6_bins.106_contig_5179530_39	K02874
group6_bins.106_contig_5179530_40	K02895
group6_bins.106_contig_5179530_41	K02931
group6_bins.106_contig_5179530_42	K02954
group6_bins.106_contig_5179530_43	K02994
group6_bins.106_contig_5179530_44	K02933
group6_bins.106_contig_5179530_45	K02881
group6_bins.106_contig_5179530_46	K02988
group6_bins.106_contig_5179530_47	K02907
group6_bins.106_contig_5179530_48	K02876
group6_bins.106_contig_5179530_49	K03076
group6_bins.106_contig_5179530_50	K00939
group6_bins.106_contig_5179530_51	K02952
group6_bins.106_contig_5179530_52	K02948
group6_bins.106_contig_5179530_53	K03040
group6_bins.106_contig_5179530_54	K02879
group6_bins.106_contig_5179531_2	K00286
group6_bins.106_contig_5179531_3	K12132
group6_bins.106_contig_5179531_6	K07137
group6_bins.106_contig_5179532_3	K07000
group6_bins.106_contig_5179532_4	K20866
group6_bins.106_contig_5179534_2	K03737
group6_bins.106_contig_5179534_5	K07261
group6_bins.106_contig_5179534_7	K24105
group6_bins.106_contig_5179534_9	K03210
group6_bins.106_contig_5179535_5	K11312
group6_bins.106_contig_5179535_7	K05807
group6_bins.106_contig_5179535_9	K13292
group6_bins.106_contig_5179535_10	K22579
group6_bins.106_contig_5179535_12	K03657
group6_bins.106_contig_5179535_14	K01953
group6_bins.106_contig_5179535_19	K02662
group6_bins.106_contig_5179535_21	K02664
group6_bins.106_contig_5179535_23	K02666
group6_bins.106_contig_5179535_26	K04043
group6_bins.106_contig_5179535_28	K14260
group6_bins.106_contig_5179536_2	K19225
