gene	ko_id
959_SemiBin_129_contig_894426_1	K21908
959_SemiBin_129_contig_894426_2	K01537
959_SemiBin_129_contig_894427_6	K01629
959_SemiBin_129_contig_894427_7	K01813
959_SemiBin_129_contig_894427_8	K00848
959_SemiBin_129_contig_894427_9	K05989
959_SemiBin_129_contig_894428_2	K00003
959_SemiBin_129_contig_894428_3	K00928
959_SemiBin_129_contig_894428_5	K25147
959_SemiBin_129_contig_894428_6	K25148
959_SemiBin_129_contig_894428_9	K13280
959_SemiBin_129_contig_894428_18	K13280
959_SemiBin_129_contig_894428_22	K22278
959_SemiBin_129_contig_894428_25	K08309
959_SemiBin_129_contig_894428_26	K07566
959_SemiBin_129_contig_894428_27	K02835
959_SemiBin_129_contig_894430_2	K01876
959_SemiBin_129_contig_894430_3	K01892
959_SemiBin_129_contig_894430_4	K01734
959_SemiBin_129_contig_894430_5	K03609
959_SemiBin_129_contig_894430_6	K19059
959_SemiBin_129_contig_894431_2	K00980
959_SemiBin_129_contig_894431_10	K00703
959_SemiBin_129_contig_894431_11	K00975
959_SemiBin_129_contig_894431_12	K00975
959_SemiBin_129_contig_894431_13	K01012
959_SemiBin_129_contig_894431_15	K06421
959_SemiBin_129_contig_894431_16	K07273
959_SemiBin_129_contig_894431_21	K01610
959_SemiBin_129_contig_894431_22	K07447
959_SemiBin_129_contig_894431_24	K17828
959_SemiBin_129_contig_894431_25	K02823
959_SemiBin_129_contig_894431_29	K02935
959_SemiBin_129_contig_894431_30	K02864
959_SemiBin_129_contig_894431_31	K02863
959_SemiBin_129_contig_894431_32	K02867
959_SemiBin_129_contig_894431_33	K02601
959_SemiBin_129_contig_894431_34	K03073
959_SemiBin_129_contig_894431_35	K02913
959_SemiBin_129_contig_894431_37	K01776
959_SemiBin_129_contig_894431_39	K01887
959_SemiBin_129_contig_894431_41	K02434
959_SemiBin_129_contig_894431_42	K02433
959_SemiBin_129_contig_894431_43	K02435
959_SemiBin_129_contig_894431_44	K01876
959_SemiBin_129_contig_894431_45	K02004
959_SemiBin_129_contig_894431_46	K02003
959_SemiBin_129_contig_894431_49	K07478
959_SemiBin_129_contig_894431_50	K00600
959_SemiBin_129_contig_894431_51	K05540
959_SemiBin_129_contig_894431_53	K06385
959_SemiBin_129_contig_894431_54	K06012
959_SemiBin_129_contig_894431_56	K15024
959_SemiBin_129_contig_894431_57	K21929
959_SemiBin_129_contig_894431_61	K01784
959_SemiBin_129_contig_894431_62	K01666
959_SemiBin_129_contig_894431_63	K01649
959_SemiBin_129_contig_894431_66	K00954
959_SemiBin_129_contig_894431_67	K08316
959_SemiBin_129_contig_894431_68	K03703
959_SemiBin_129_contig_894431_69	K02784
959_SemiBin_129_contig_894431_70	K00554
959_SemiBin_129_contig_894431_71	K02860
959_SemiBin_129_contig_894431_73	K03324
959_SemiBin_129_contig_894431_75	K00783
959_SemiBin_129_contig_894431_77	K00790
959_SemiBin_129_contig_894432_3	K03088
959_SemiBin_129_contig_894432_4	K11072
959_SemiBin_129_contig_894432_8	K07149
959_SemiBin_129_contig_894432_14	K01442
959_SemiBin_129_contig_894432_16	K14540
959_SemiBin_129_contig_894432_17	K03470
959_SemiBin_129_contig_894432_18	K07460
959_SemiBin_129_contig_894432_19	K01273
959_SemiBin_129_contig_894432_20	K01733
959_SemiBin_129_contig_894432_21	K07099
959_SemiBin_129_contig_894432_22	K03545
959_SemiBin_129_contig_894432_23	K01358
959_SemiBin_129_contig_894432_24	K03544
959_SemiBin_129_contig_894432_25	K01338
959_SemiBin_129_contig_894432_26	K03978
959_SemiBin_129_contig_894432_27	K01586
959_SemiBin_129_contig_894433_1	K00611
959_SemiBin_129_contig_894433_2	K00821
959_SemiBin_129_contig_894433_3	K22477
959_SemiBin_129_contig_894433_4	K00930
959_SemiBin_129_contig_894433_5	K00620
959_SemiBin_129_contig_894433_6	K00145
959_SemiBin_129_contig_894433_7	K01755
959_SemiBin_129_contig_894433_8	K01940
959_SemiBin_129_contig_894433_17	K24180
959_SemiBin_129_contig_894433_20	K06213
959_SemiBin_129_contig_894433_21	K06923
959_SemiBin_129_contig_894433_24	K03150
959_SemiBin_129_contig_894433_26	K07301
959_SemiBin_129_contig_894433_27	K02238
959_SemiBin_129_contig_894433_30	K01424
959_SemiBin_129_contig_894433_32	K00615
959_SemiBin_129_contig_894433_33	K13038
959_SemiBin_129_contig_894433_34	K03525
959_SemiBin_129_contig_894433_35	K03524
959_SemiBin_129_contig_894433_40	K01652
959_SemiBin_129_contig_894433_42	K08981
959_SemiBin_129_contig_894433_44	K10947
959_SemiBin_129_contig_894433_45	K01243
959_SemiBin_129_contig_894433_46	K09761
959_SemiBin_129_contig_894433_47	K03743
959_SemiBin_129_contig_894434_3	K03282
959_SemiBin_129_contig_894434_4	K01866
959_SemiBin_129_contig_894434_6	K03466
959_SemiBin_129_contig_894434_7	K06153
959_SemiBin_129_contig_894434_9	K03699
959_SemiBin_129_contig_894434_12	K01156
959_SemiBin_129_contig_894434_13	K07316
959_SemiBin_129_contig_894434_16	K06919
959_SemiBin_129_contig_894434_20	K06400
959_SemiBin_129_contig_894434_22	K05985
959_SemiBin_129_contig_894434_23	K02340
959_SemiBin_129_contig_894434_24	K02238
959_SemiBin_129_contig_894434_26	K02503
959_SemiBin_129_contig_894434_27	K08591
959_SemiBin_129_contig_894434_28	K03977
959_SemiBin_129_contig_894434_29	K02911
959_SemiBin_129_contig_894434_30	K07040
959_SemiBin_129_contig_894437_2	K02992
959_SemiBin_129_contig_894437_3	K02950
959_SemiBin_129_contig_894437_4	K03046
959_SemiBin_129_contig_894437_5	K03043
959_SemiBin_129_contig_894437_7	K08600
959_SemiBin_129_contig_894437_8	K03151
959_SemiBin_129_contig_894437_9	K04487
959_SemiBin_129_contig_894437_10	K06405
959_SemiBin_129_contig_894437_11	K04068
959_SemiBin_129_contig_894437_12	K21636
959_SemiBin_129_contig_894437_13	K02335
959_SemiBin_129_contig_894437_15	K03789
959_SemiBin_129_contig_894437_16	K25706
959_SemiBin_129_contig_894437_19	K00831
959_SemiBin_129_contig_894437_20	K01591
959_SemiBin_129_contig_894437_21	K00762
959_SemiBin_129_contig_894437_22	K01465
959_SemiBin_129_contig_894439_4	K03205
959_SemiBin_129_contig_894440_5	K04762
959_SemiBin_129_contig_894440_6	K03530
959_SemiBin_129_contig_894441_4	K07172
959_SemiBin_129_contig_894441_5	K07171
959_SemiBin_129_contig_894442_2	K07107
959_SemiBin_129_contig_894442_4	K09458
959_SemiBin_129_contig_894442_6	K20534
959_SemiBin_129_contig_894442_7	K03499
959_SemiBin_129_contig_894442_8	K03498
959_SemiBin_129_contig_894442_12	K03723
959_SemiBin_129_contig_894442_13	K01056
959_SemiBin_129_contig_894442_14	K00948
959_SemiBin_129_contig_894442_16	K01006
959_SemiBin_129_contig_894442_17	K23994
959_SemiBin_129_contig_894442_20	K25154
959_SemiBin_129_contig_894442_21	K25155
959_SemiBin_129_contig_894442_22	K25156
959_SemiBin_129_contig_894442_23	K00700
959_SemiBin_129_contig_894442_27	K04070
959_SemiBin_129_contig_894442_28	K18682
959_SemiBin_129_contig_894442_29	K00134
959_SemiBin_129_contig_894442_32	K00441
959_SemiBin_129_contig_894442_34	K16710
959_SemiBin_129_contig_894442_45	K12996
959_SemiBin_129_contig_894442_50	K03616
959_SemiBin_129_contig_894442_51	K03617
959_SemiBin_129_contig_894442_52	K03613
959_SemiBin_129_contig_894443_3	K07699
959_SemiBin_129_contig_894443_5	K14623
959_SemiBin_129_contig_894443_6	K06400
959_SemiBin_129_contig_894445_1	K01176
959_SemiBin_129_contig_894445_3	K01077
959_SemiBin_129_contig_894446_2	K07130
959_SemiBin_129_contig_894446_3	K01091
959_SemiBin_129_contig_894446_4	K09765
959_SemiBin_129_contig_894446_7	K01005
959_SemiBin_129_contig_894446_8	K19420
959_SemiBin_129_contig_894446_12	K07009
959_SemiBin_129_contig_894446_13	K23393
959_SemiBin_129_contig_894447_4	K14059
959_SemiBin_129_contig_894447_6	K07133
959_SemiBin_129_contig_894447_9	K04486
959_SemiBin_129_contig_894447_10	K07166
959_SemiBin_129_contig_894447_11	K09157
959_SemiBin_129_contig_894447_16	K03558
959_SemiBin_129_contig_894447_18	K06173
959_SemiBin_129_contig_894448_2	K03517
959_SemiBin_129_contig_894448_3	K00566
959_SemiBin_129_contig_894448_4	K03523
959_SemiBin_129_contig_894448_6	K06942
959_SemiBin_129_contig_894448_8	K18700
959_SemiBin_129_contig_894448_9	K01091
959_SemiBin_129_contig_894448_11	K06183
959_SemiBin_129_contig_894448_12	K10112
959_SemiBin_129_contig_894448_13	K02647
959_SemiBin_129_contig_894448_14	K09812
959_SemiBin_129_contig_894448_15	K09811
959_SemiBin_129_contig_894448_16	K22719
959_SemiBin_129_contig_894448_19	K03624
959_SemiBin_129_contig_894448_20	K04567
959_SemiBin_129_contig_894448_21	K01687
959_SemiBin_129_contig_894448_22	K02355
959_SemiBin_129_contig_894448_24	K15633
959_SemiBin_129_contig_894448_25	K01803
959_SemiBin_129_contig_894448_26	K00927
959_SemiBin_129_contig_894448_27	K03216
959_SemiBin_129_contig_894448_35	K07173
