gene	ko_id
group7_bins.369_contig_6534197_1	K02238
group7_bins.369_contig_6534197_2	K02340
group7_bins.369_contig_6534197_3	K05985
group7_bins.369_contig_6534197_4	K14058
group7_bins.369_contig_6534197_5	K18682
group7_bins.369_contig_6534198_3	K04079
group7_bins.369_contig_6534198_4	K00147
group7_bins.369_contig_6534198_5	K00931
group7_bins.369_contig_6534198_6	K03569
group7_bins.369_contig_6534198_7	K03570
group7_bins.369_contig_6534198_11	K01734
group7_bins.369_contig_6534198_12	K01892
group7_bins.369_contig_6534198_13	K01835
group7_bins.369_contig_6534198_16	K01783
group7_bins.369_contig_6534198_17	K03070
group7_bins.369_contig_6534199_1	K03469
group7_bins.369_contig_6534199_2	K04487
group7_bins.369_contig_6534199_5	K18346
group7_bins.369_contig_6534200_1	K02238
group7_bins.369_contig_6534201_1	K02884
group7_bins.369_contig_6534201_4	K01537
group7_bins.369_contig_6534201_5	K03527
group7_bins.369_contig_6534201_6	K00655
group7_bins.369_contig_6534201_8	K03531
group7_bins.369_contig_6534202_3	K06399
group7_bins.369_contig_6534202_4	K03523
group7_bins.369_contig_6534202_6	K03523
group7_bins.369_contig_6534202_7	K03523
group7_bins.369_contig_6534202_8	K03657
group7_bins.369_contig_6534203_1	K02338
group7_bins.369_contig_6534203_2	K03629
group7_bins.369_contig_6534203_3	K02470
group7_bins.369_contig_6534203_4	K02469
group7_bins.369_contig_6534203_5	K07699
group7_bins.369_contig_6534204_1	K12952
group7_bins.369_contig_6534204_3	K00615
group7_bins.369_contig_6534205_1	K02029
group7_bins.369_contig_6534205_2	K02028
group7_bins.369_contig_6534205_5	K07462
group7_bins.369_contig_6534206_1	K07391
group7_bins.369_contig_6534206_2	K22278
group7_bins.369_contig_6534206_3	K03110
group7_bins.369_contig_6534206_4	K00969
group7_bins.369_contig_6534206_5	K01005
group7_bins.369_contig_6534206_6	K04487
group7_bins.369_contig_6534206_8	K03151
group7_bins.369_contig_6534206_9	K06207
group7_bins.369_contig_6534207_1	K01005
group7_bins.369_contig_6534207_2	K06131
group7_bins.369_contig_6534208_1	K04567
group7_bins.369_contig_6534208_2	K03624
group7_bins.369_contig_6534208_3	K01624
group7_bins.369_contig_6534208_4	K03660
group7_bins.369_contig_6534208_7	K00928
group7_bins.369_contig_6534208_9	K00859
group7_bins.369_contig_6534208_10	K07566
group7_bins.369_contig_6534208_11	K02835
group7_bins.369_contig_6534209_2	K03498
group7_bins.369_contig_6534209_3	K03043
group7_bins.369_contig_6534209_4	K03046
group7_bins.369_contig_6534209_5	K02950
group7_bins.369_contig_6534209_6	K02992
group7_bins.369_contig_6534209_7	K02355
group7_bins.369_contig_6534209_8	K02358
group7_bins.369_contig_6534209_9	K07171
group7_bins.369_contig_6534210_1	K06012
group7_bins.369_contig_6534210_2	K06385
group7_bins.369_contig_6534211_1	K06871
group7_bins.369_contig_6534211_2	K00286
group7_bins.369_contig_6534211_3	K06384
group7_bins.369_contig_6534211_4	K01520
group7_bins.369_contig_6534211_5	K07053
group7_bins.369_contig_6534211_7	K03465
group7_bins.369_contig_6534211_9	K03152
group7_bins.369_contig_6534211_10	K07082
group7_bins.369_contig_6534211_11	K08303
group7_bins.369_contig_6534211_13	K06283
group7_bins.369_contig_6534211_17	K01159
group7_bins.369_contig_6534211_18	K03550
group7_bins.369_contig_6534211_19	K03551
group7_bins.369_contig_6534211_20	K03431
group7_bins.369_contig_6534211_21	K16786
group7_bins.369_contig_6534211_23	K16785
group7_bins.369_contig_6534211_24	K06173
group7_bins.369_contig_6534212_2	K06967
group7_bins.369_contig_6534212_4	K01937
group7_bins.369_contig_6534212_6	K00134
group7_bins.369_contig_6534212_10	K01883
group7_bins.369_contig_6534212_11	K10206
group7_bins.369_contig_6534212_12	K00824
group7_bins.369_contig_6534213_2	K00954
group7_bins.369_contig_6534213_3	K08316
group7_bins.369_contig_6534213_5	K03547
group7_bins.369_contig_6534213_6	K03546
group7_bins.369_contig_6534214_3	K03763
group7_bins.369_contig_6534214_4	K03526
group7_bins.369_contig_6534214_5	K00099
group7_bins.369_contig_6534214_6	K00981
group7_bins.369_contig_6534214_8	K02838
group7_bins.369_contig_6534214_9	K09903
group7_bins.369_contig_6534214_11	K02337
group7_bins.369_contig_6534214_12	K06958
group7_bins.369_contig_6534214_13	K00075
group7_bins.369_contig_6534214_14	K19002
group7_bins.369_contig_6534214_23	K00027
group7_bins.369_contig_6534214_24	K01925
group7_bins.369_contig_6534214_28	K02884
group7_bins.369_contig_6534215_3	K01880
group7_bins.369_contig_6534215_5	K00016
group7_bins.369_contig_6534215_6	K05540
group7_bins.369_contig_6534215_7	K09706
group7_bins.369_contig_6534215_8	K00088
group7_bins.369_contig_6534216_3	K03977
group7_bins.369_contig_6534216_4	K08974
group7_bins.369_contig_6534216_5	K06180
group7_bins.369_contig_6534216_6	K03101
group7_bins.369_contig_6534216_7	K01870
group7_bins.369_contig_6534216_8	K04074
group7_bins.369_contig_6534216_9	K09772
group7_bins.369_contig_6534216_11	K00791
group7_bins.369_contig_6534216_12	K03572
group7_bins.369_contig_6534216_14	K03555
group7_bins.369_contig_6534216_16	K06168
group7_bins.369_contig_6534216_17	K01586
group7_bins.369_contig_6534216_18	K03978
group7_bins.369_contig_6534216_19	K01338
group7_bins.369_contig_6534216_23	K04072
group7_bins.369_contig_6534216_26	K06398
group7_bins.369_contig_6534216_27	K00762
group7_bins.369_contig_6534216_28	K01810
group7_bins.369_contig_6534216_30	K07258
group7_bins.369_contig_6534216_35	K06381
group7_bins.369_contig_6534216_36	K03701
group7_bins.369_contig_6534216_37	K03702
group7_bins.369_contig_6534216_38	K03630
group7_bins.369_contig_6534217_1	K03075
group7_bins.369_contig_6534217_2	K12573
group7_bins.369_contig_6534218_1	K07090
group7_bins.369_contig_6534218_2	K07090
group7_bins.369_contig_6534218_3	K01596
group7_bins.369_contig_6534218_4	K02935
group7_bins.369_contig_6534218_5	K02864
group7_bins.369_contig_6534218_6	K02863
group7_bins.369_contig_6534218_7	K02867
group7_bins.369_contig_6534218_8	K02601
group7_bins.369_contig_6534218_9	K03073
group7_bins.369_contig_6534218_12	K10112
group7_bins.369_contig_6534218_13	K25087
group7_bins.369_contig_6534218_14	K25088
group7_bins.369_contig_6534219_1	K04096
group7_bins.369_contig_6534219_3	K02887
group7_bins.369_contig_6534219_4	K02916
group7_bins.369_contig_6534219_5	K02520
group7_bins.369_contig_6534220_3	K02356
group7_bins.369_contig_6534220_5	K03786
group7_bins.369_contig_6534220_6	K01151
group7_bins.369_contig_6534220_7	K07015
group7_bins.369_contig_6534220_9	K16899
group7_bins.369_contig_6534220_10	K16898
group7_bins.369_contig_6534220_11	K02963
group7_bins.369_contig_6534220_12	K03111
group7_bins.369_contig_6534220_13	K02990
group7_bins.369_contig_6534220_15	K03544
group7_bins.369_contig_6534220_16	K01358
group7_bins.369_contig_6534220_17	K03545
group7_bins.369_contig_6534220_18	K07099
group7_bins.369_contig_6534220_19	K07460
group7_bins.369_contig_6534220_20	K03470
group7_bins.369_contig_6534220_21	K14540
group7_bins.369_contig_6534220_22	K03100
group7_bins.369_contig_6534220_23	K06390
group7_bins.369_contig_6534220_25	K06392
group7_bins.369_contig_6534220_26	K06393
group7_bins.369_contig_6534220_27	K06394
group7_bins.369_contig_6534220_28	K06395
group7_bins.369_contig_6534220_29	K06396
group7_bins.369_contig_6534220_30	K06397
group7_bins.369_contig_6534220_32	K18672
group7_bins.369_contig_6534220_33	K04485
group7_bins.369_contig_6534221_1	K07042
group7_bins.369_contig_6534221_3	K03595
group7_bins.369_contig_6534221_4	K03584
group7_bins.369_contig_6534221_5	K07456
group7_bins.369_contig_6534222_1	K03310
group7_bins.369_contig_6534222_4	K11072
group7_bins.369_contig_6534223_5	K00262
group7_bins.369_contig_6534225_2	K04759
group7_bins.369_contig_6534225_3	K04758
group7_bins.369_contig_6534225_5	K00820
group7_bins.369_contig_6534225_6	K02909
group7_bins.369_contig_6534225_8	K02316
group7_bins.369_contig_6534225_9	K03086
group7_bins.369_contig_6534225_10	K00789
group7_bins.369_contig_6534225_12	K02335
group7_bins.369_contig_6534225_13	K06383
group7_bins.369_contig_6534225_14	K03091
group7_bins.369_contig_6534225_16	K20534
group7_bins.369_contig_6534226_2	K02946
group7_bins.369_contig_6534226_3	K02906
group7_bins.369_contig_6534226_4	K02926
group7_bins.369_contig_6534226_5	K02892
group7_bins.369_contig_6534226_6	K02886
group7_bins.369_contig_6534226_7	K02965
group7_bins.369_contig_6534226_8	K02890
group7_bins.369_contig_6534226_9	K02982
group7_bins.369_contig_6534226_10	K02878
group7_bins.369_contig_6534226_11	K02904
group7_bins.369_contig_6534226_12	K02961
group7_bins.369_contig_6534226_13	K02874
group7_bins.369_contig_6534226_14	K02895
group7_bins.369_contig_6534226_15	K02931
group7_bins.369_contig_6534226_16	K02954
group7_bins.369_contig_6534226_17	K02994
group7_bins.369_contig_6534226_18	K02933
group7_bins.369_contig_6534226_19	K02881
group7_bins.369_contig_6534226_20	K02988
group7_bins.369_contig_6534226_21	K02907
group7_bins.369_contig_6534226_22	K02876
group7_bins.369_contig_6534226_23	K03076
group7_bins.369_contig_6534226_24	K00939
group7_bins.369_contig_6534226_25	K01265
group7_bins.369_contig_6534226_27	K02518
group7_bins.369_contig_6534226_28	K02919
group7_bins.369_contig_6534226_29	K02952
group7_bins.369_contig_6534226_30	K02948
group7_bins.369_contig_6534226_31	K02986
group7_bins.369_contig_6534226_32	K03040
group7_bins.369_contig_6534226_33	K02879
group7_bins.369_contig_6534226_34	K16870
group7_bins.369_contig_6534226_36	K00973
group7_bins.369_contig_6534226_37	K00067
group7_bins.369_contig_6534226_38	K01710
group7_bins.369_contig_6534226_39	K01790
group7_bins.369_contig_6534226_40	K09690
group7_bins.369_contig_6534226_41	K09691
group7_bins.369_contig_6534226_43	K01784
group7_bins.369_contig_6534226_44	K03589
group7_bins.369_contig_6534226_45	K00790
group7_bins.369_contig_6534226_46	K02563
group7_bins.369_contig_6534226_47	K03588
group7_bins.369_contig_6534226_48	K01000
group7_bins.369_contig_6534226_49	K01929
group7_bins.369_contig_6534226_50	K01928
group7_bins.369_contig_6534226_51	K08384
group7_bins.369_contig_6534226_53	K03438
group7_bins.369_contig_6534227_2	K12574
group7_bins.369_contig_6534227_3	K22927
group7_bins.369_contig_6534227_4	K02939
group7_bins.369_contig_6534227_5	K02314
group7_bins.369_contig_6534227_6	K04075
group7_bins.369_contig_6534227_7	K03798
group7_bins.369_contig_6534227_9	K02123
group7_bins.369_contig_6534227_14	K02117
group7_bins.369_contig_6534227_15	K02118
group7_bins.369_contig_6534227_16	K02120
group7_bins.369_contig_6534227_18	K01945
group7_bins.369_contig_6534227_19	K00602
group7_bins.369_contig_6534227_20	K11176
group7_bins.369_contig_6534227_21	K11175
group7_bins.369_contig_6534227_22	K01933
group7_bins.369_contig_6534227_23	K00764
group7_bins.369_contig_6534227_24	K01923
group7_bins.369_contig_6534227_25	K01588
group7_bins.369_contig_6534227_26	K02836
group7_bins.369_contig_6534227_28	K06387
group7_bins.369_contig_6534227_29	K00919
group7_bins.369_contig_6534227_31	K25152
group7_bins.369_contig_6534227_34	K03705
group7_bins.369_contig_6534227_35	K03687
group7_bins.369_contig_6534227_36	K04043
group7_bins.369_contig_6534227_38	K03686
group7_bins.369_contig_6534227_39	K23997
group7_bins.369_contig_6534227_41	K00209
group7_bins.369_contig_6534227_42	K06410
group7_bins.369_contig_6534227_43	K06411
group7_bins.369_contig_6534227_44	K01953
group7_bins.369_contig_6534227_46	K13292
group7_bins.369_contig_6534227_48	K02888
group7_bins.369_contig_6534227_49	K07584
group7_bins.369_contig_6534227_50	K02899
group7_bins.369_contig_6534227_51	K03979
group7_bins.369_contig_6534227_53	K18189
group7_bins.369_contig_6534227_54	K01876
group7_bins.369_contig_6534227_55	K02435
group7_bins.369_contig_6534227_56	K02433
group7_bins.369_contig_6534227_57	K02434
group7_bins.369_contig_6534227_59	K06153
group7_bins.369_contig_6534227_60	K00942
group7_bins.369_contig_6534227_62	K04066
group7_bins.369_contig_6534227_63	K01462
group7_bins.369_contig_6534227_64	K00604
group7_bins.369_contig_6534227_65	K20074
group7_bins.369_contig_6534227_66	K12132
group7_bins.369_contig_6534227_73	K07258
group7_bins.369_contig_6534227_74	K07027
group7_bins.369_contig_6534227_76	K18707
group7_bins.369_contig_6534227_77	K01952
group7_bins.369_contig_6534227_80	K00266
group7_bins.369_contig_6534227_81	K00133
group7_bins.369_contig_6534228_1	K00948
group7_bins.369_contig_6534228_2	K01056
group7_bins.369_contig_6534228_6	K09748
group7_bins.369_contig_6534228_7	K02600
group7_bins.369_contig_6534228_8	K07742
group7_bins.369_contig_6534228_9	K02519
group7_bins.369_contig_6534228_10	K02834
group7_bins.369_contig_6534228_11	K06881
group7_bins.369_contig_6534228_12	K03177
group7_bins.369_contig_6534229_1	K03536
group7_bins.369_contig_6534229_2	K03217
group7_bins.369_contig_6534229_3	K03650
group7_bins.369_contig_6534229_4	K03495
group7_bins.369_contig_6534229_5	K03501
group7_bins.369_contig_6534229_6	K03497
group7_bins.369_contig_6534229_7	K03496
group7_bins.369_contig_6534229_8	K03497
group7_bins.369_contig_6534229_9	K01875
group7_bins.369_contig_6534229_10	K01778
group7_bins.369_contig_6534229_12	K04068
group7_bins.369_contig_6534229_13	K21636
group7_bins.369_contig_6534230_2	K00656
group7_bins.369_contig_6534230_3	K04069
group7_bins.369_contig_6534230_4	K01006
group7_bins.369_contig_6534230_5	K01924
group7_bins.369_contig_6534230_7	K02528
group7_bins.369_contig_6534230_9	K06925
group7_bins.369_contig_6534230_10	K14742
group7_bins.369_contig_6534230_11	K01808
group7_bins.369_contig_6534230_12	K06405
group7_bins.369_contig_6534230_13	K06406
group7_bins.369_contig_6534230_14	K06407
group7_bins.369_contig_6534230_15	K01939
group7_bins.369_contig_6534230_18	K00645
group7_bins.369_contig_6534230_19	K00648
group7_bins.369_contig_6534230_20	K00059
group7_bins.369_contig_6534230_21	K09458
group7_bins.369_contig_6534230_22	K02160
group7_bins.369_contig_6534230_23	K02372
group7_bins.369_contig_6534230_24	K01961
group7_bins.369_contig_6534230_25	K01963
group7_bins.369_contig_6534230_26	K01962
group7_bins.369_contig_6534230_27	K02078
group7_bins.369_contig_6534230_28	K01872
group7_bins.369_contig_6534230_29	K02503
group7_bins.369_contig_6534230_30	K02871
group7_bins.369_contig_6534230_31	K02996
group7_bins.369_contig_6534231_1	K03743
group7_bins.369_contig_6534231_2	K01881
group7_bins.369_contig_6534231_3	K06942
group7_bins.369_contig_6534232_1	K01756
group7_bins.369_contig_6534232_3	K07729
group7_bins.369_contig_6534232_4	K03218
group7_bins.369_contig_6534232_6	K03091
group7_bins.369_contig_6534232_7	K25026
group7_bins.369_contig_6534232_8	K07738
group7_bins.369_contig_6534233_2	K15633
group7_bins.369_contig_6534233_3	K01803
group7_bins.369_contig_6534233_4	K00927
group7_bins.369_contig_6534234_1	K08591
group7_bins.369_contig_6534234_2	K00057
group7_bins.369_contig_6534234_3	K02967
group7_bins.369_contig_6534234_4	K02357
group7_bins.369_contig_6534234_6	K03106
group7_bins.369_contig_6534234_7	K02959
group7_bins.369_contig_6534234_8	K06960
group7_bins.369_contig_6534234_9	K02860
group7_bins.369_contig_6534234_10	K00554
group7_bins.369_contig_6534234_12	K03703
group7_bins.369_contig_6534234_13	K03625
group7_bins.369_contig_6534234_14	K03601
group7_bins.369_contig_6534234_15	K03602
group7_bins.369_contig_6534234_17	K09775
group7_bins.369_contig_6534234_18	K01662
group7_bins.369_contig_6534234_19	K00858
group7_bins.369_contig_6534234_20	K03631
group7_bins.369_contig_6534234_23	K01874
group7_bins.369_contig_6534234_24	K03424
group7_bins.369_contig_6534235_1	K01873
group7_bins.369_contig_6534235_2	K11754
group7_bins.369_contig_6534235_4	K06379
group7_bins.369_contig_6534235_5	K04749
group7_bins.369_contig_6534235_7	K01921
group7_bins.369_contig_6534235_8	K01887
group7_bins.369_contig_6534235_10	K01493
group7_bins.369_contig_6534237_2	K06178
group7_bins.369_contig_6534237_4	K07095
group7_bins.369_contig_6534237_6	K07447
group7_bins.369_contig_6534237_7	K17828
group7_bins.369_contig_6534237_8	K02823
group7_bins.369_contig_6534237_9	K01955
group7_bins.369_contig_6534237_11	K01591
group7_bins.369_contig_6534237_12	K01465
group7_bins.369_contig_6534237_14	K04078
group7_bins.369_contig_6534237_15	K04077
group7_bins.369_contig_6534237_16	K01953
group7_bins.369_contig_6534237_17	K01890
group7_bins.369_contig_6534237_18	K01889
group7_bins.369_contig_6534237_19	K02968
group7_bins.369_contig_6534238_1	K04769
group7_bins.369_contig_6534238_2	K02039
group7_bins.369_contig_6534238_3	K02036
group7_bins.369_contig_6534238_4	K02038
group7_bins.369_contig_6534238_7	K02040
group7_bins.369_contig_6534239_1	K09769
group7_bins.369_contig_6534239_2	K03655
group7_bins.369_contig_6534239_3	K01868
group7_bins.369_contig_6534240_1	K01972
group7_bins.369_contig_6534240_3	K02343
group7_bins.369_contig_6534240_4	K09747
group7_bins.369_contig_6534240_5	K06187
group7_bins.369_contig_6534240_6	K03664
group7_bins.369_contig_6534240_7	K02315
group7_bins.369_contig_6534240_8	K02086
group7_bins.369_contig_6534240_11	K06438
group7_bins.369_contig_6534241_2	K01736
group7_bins.369_contig_6534241_3	K00800
group7_bins.369_contig_6534241_4	K01735
group7_bins.369_contig_6534241_6	K02119
group7_bins.369_contig_6534241_7	K02123
group7_bins.369_contig_6534241_8	K02124
group7_bins.369_contig_6534241_9	K02122
group7_bins.369_contig_6534241_11	K02117
group7_bins.369_contig_6534241_12	K02118
group7_bins.369_contig_6534241_13	K02120
group7_bins.369_contig_6534242_1	K10773
group7_bins.369_contig_6534242_2	K01866
group7_bins.369_contig_6534242_4	K04042
group7_bins.369_contig_6534242_6	K09811
group7_bins.369_contig_6534242_7	K09812
group7_bins.369_contig_6534242_8	K02647
group7_bins.369_contig_6534243_4	K22132
group7_bins.369_contig_6534243_15	K06909
group7_bins.369_contig_6534243_16	K07474
group7_bins.369_contig_6534243_17	K06133
group7_bins.369_contig_6534244_1	K03210
group7_bins.369_contig_6534245_1	K03466
group7_bins.369_contig_6534245_2	K01002
group7_bins.369_contig_6534246_1	K03168
group7_bins.369_contig_6534246_2	K03621
group7_bins.369_contig_6534246_3	K03685
group7_bins.369_contig_6534246_4	K01519
group7_bins.369_contig_6534246_5	K01869
