gene	ko_id
group9_bins.244_contig_1379163_9	K19294
group9_bins.244_contig_1379163_16	K00067
group9_bins.244_contig_1379163_18	K11358
group9_bins.244_contig_1379163_19	K00703
group9_bins.244_contig_1379163_21	K11749
group9_bins.244_contig_1379163_22	K00099
group9_bins.244_contig_1379163_23	K00981
group9_bins.244_contig_1379163_25	K02838
group9_bins.244_contig_1379163_26	K02357
group9_bins.244_contig_1379163_27	K02967
group9_bins.244_contig_1379164_1	K09749
group9_bins.244_contig_1379164_4	K01785
group9_bins.244_contig_1379165_1	K00702
group9_bins.244_contig_1379165_3	K00053
group9_bins.244_contig_1379165_5	K01489
group9_bins.244_contig_1379165_6	K08978
group9_bins.244_contig_1379165_7	K01091
group9_bins.244_contig_1379165_8	K03495
group9_bins.244_contig_1379165_11	K02483
group9_bins.244_contig_1379165_14	K02970
group9_bins.244_contig_1379165_17	K03424
group9_bins.244_contig_1379165_19	K06218
group9_bins.244_contig_1379165_22	K00571
group9_bins.244_contig_1379165_23	K09793
group9_bins.244_contig_1379165_28	K15633
group9_bins.244_contig_1379166_3	K01686
group9_bins.244_contig_1379166_5	K08303
group9_bins.244_contig_1379166_6	K14731
group9_bins.244_contig_1379166_7	K00651
group9_bins.244_contig_1379166_9	K03559
group9_bins.244_contig_1379166_10	K03561
group9_bins.244_contig_1379166_14	K23876
group9_bins.244_contig_1379166_23	K02120
group9_bins.244_contig_1379166_24	K02118
group9_bins.244_contig_1379166_25	K02117
group9_bins.244_contig_1379166_28	K02124
group9_bins.244_contig_1379166_29	K02123
group9_bins.244_contig_1379166_33	K03075
group9_bins.244_contig_1379166_34	K01803
group9_bins.244_contig_1379166_35	K03308
group9_bins.244_contig_1379166_36	K00927
group9_bins.244_contig_1379166_38	K03671
group9_bins.244_contig_1379166_39	K00134
group9_bins.244_contig_1379167_2	K03723
group9_bins.244_contig_1379167_7	K06180
group9_bins.244_contig_1379167_9	K06997
group9_bins.244_contig_1379167_10	K02528
group9_bins.244_contig_1379167_11	K02238
group9_bins.244_contig_1379167_14	K07052
group9_bins.244_contig_1379167_16	K25153
group9_bins.244_contig_1379167_18	K00784
group9_bins.244_contig_1379167_19	K26937
group9_bins.244_contig_1379167_22	K00655
group9_bins.244_contig_1379167_24	K02614
group9_bins.244_contig_1379167_26	K00763
group9_bins.244_contig_1379167_27	K01874
group9_bins.244_contig_1379167_28	K02026
group9_bins.244_contig_1379167_29	K02025
group9_bins.244_contig_1379167_34	K16923
group9_bins.244_contig_1379168_2	K07316
group9_bins.244_contig_1379169_4	K06901
group9_bins.244_contig_1379169_5	K01733
group9_bins.244_contig_1379169_7	K01775
group9_bins.244_contig_1379169_8	K11754
group9_bins.244_contig_1379169_9	K01867
