gene	ko_id
935_SemiBin_192_contig_3011943_4	K02518
935_SemiBin_192_contig_3011943_5	K06204
935_SemiBin_192_contig_3011943_6	K04486
935_SemiBin_192_contig_3011943_9	K03152
935_SemiBin_192_contig_3011943_11	K02029
935_SemiBin_192_contig_3011943_12	K00925
935_SemiBin_192_contig_3011943_15	K00016
935_SemiBin_192_contig_3011943_16	K01679
935_SemiBin_192_contig_3011943_17	K03406
935_SemiBin_192_contig_3011943_20	K03388
935_SemiBin_192_contig_3011943_21	K14127
935_SemiBin_192_contig_3011943_22	K00125
935_SemiBin_192_contig_3011943_24	K16951
935_SemiBin_192_contig_3011943_27	K07085
935_SemiBin_192_contig_3011943_28	K01784
935_SemiBin_192_contig_3011943_30	K09859
935_SemiBin_192_contig_3011943_31	K00800
935_SemiBin_192_contig_3011943_32	K00651
935_SemiBin_192_contig_3011943_33	K14731
935_SemiBin_192_contig_3011943_34	K08303
935_SemiBin_192_contig_3011943_38	K02500
935_SemiBin_192_contig_3011943_39	K02501
935_SemiBin_192_contig_3011943_40	K01737
935_SemiBin_192_contig_3011943_42	K01928
935_SemiBin_192_contig_3011943_43	K01921
935_SemiBin_192_contig_3011943_47	K00558
935_SemiBin_192_contig_3011943_61	K06904
935_SemiBin_192_contig_3011943_67	K07451
935_SemiBin_192_contig_3011943_85	K06400
935_SemiBin_192_contig_3011943_89	K26937
935_SemiBin_192_contig_3011943_93	K02970
935_SemiBin_192_contig_3011943_97	K23356
935_SemiBin_192_contig_3011943_98	K03340
935_SemiBin_192_contig_3011943_99	K01586
935_SemiBin_192_contig_3011943_100	K00088
935_SemiBin_192_contig_3011943_102	K03593
935_SemiBin_192_contig_3011943_105	K02355
935_SemiBin_192_contig_3011943_108	K00859
935_SemiBin_192_contig_3011943_109	K02335
935_SemiBin_192_contig_3011943_110	K01216
935_SemiBin_192_contig_3011943_118	K03210
935_SemiBin_192_contig_3011943_121	K03527
935_SemiBin_192_contig_3011943_122	K00940
935_SemiBin_192_contig_3011943_123	K00057
935_SemiBin_192_contig_3011943_124	K03106
935_SemiBin_192_contig_3011943_127	K18678
935_SemiBin_192_contig_3011943_131	K08303
935_SemiBin_192_contig_3011943_132	K03111
935_SemiBin_192_contig_3011943_134	K00817
935_SemiBin_192_contig_3011943_135	K07096
935_SemiBin_192_contig_3011943_136	K01624
935_SemiBin_192_contig_3011944_1	K06976
935_SemiBin_192_contig_3011944_6	K01006
935_SemiBin_192_contig_3011944_7	K07240
935_SemiBin_192_contig_3011944_8	K07240
935_SemiBin_192_contig_3011944_13	K01091
935_SemiBin_192_contig_3011944_14	K03409
935_SemiBin_192_contig_3011944_15	K15738
935_SemiBin_192_contig_3011944_17	K07137
935_SemiBin_192_contig_3011944_19	K03734
935_SemiBin_192_contig_3011944_20	K15460
935_SemiBin_192_contig_3011944_24	K01768
935_SemiBin_192_contig_3011944_28	K03407
935_SemiBin_192_contig_3011944_29	K00575
935_SemiBin_192_contig_3011944_30	K03412
935_SemiBin_192_contig_3011944_31	K03413
935_SemiBin_192_contig_3011944_32	K03406
935_SemiBin_192_contig_3011944_34	K03408
935_SemiBin_192_contig_3011944_37	K10240
935_SemiBin_192_contig_3011944_39	K01881
935_SemiBin_192_contig_3011944_44	K08309
935_SemiBin_192_contig_3011944_46	K00145
935_SemiBin_192_contig_3011944_47	K07149
935_SemiBin_192_contig_3011944_48	K07056
935_SemiBin_192_contig_3011944_49	K02398
935_SemiBin_192_contig_3011944_55	K03465
935_SemiBin_192_contig_3011944_57	K01216
